Manager,Draft_Position,Points_For,Points_Against,Rank,Team_Key,Trades,Transactions,Team,Draft_Grade,Playoff_Seed,Year
Greg,,1501.7,1590.12,1,380.l.236583.t.7,1,42,Krispy Kareem,C,6,2018
Wesley,,1512.78,1436.26,2,380.l.236583.t.6,0,24,TY for the Goodwin,C,5,2018
Pat,,1492.36,1370.62,3,380.l.236583.t.8,1,22,Push Ups in Prison,C,2,2018
Peter Billups,,1644.18,1545.16,4,380.l.236583.t.9,0,26,Easy Breesy,D+,1,2018
Shinn,,1637.12,1548.6,5,380.l.236583.t.5,7,66,JMU Duke (Johnson)'s,B,4,2018
Tim,,1692.24,1528.98,6,380.l.236583.t.1,5,50,Turn ur head & Goff,A-,3,2018
ryan,,1418.02,1515.62,7,380.l.236583.t.2,2,54,Rolls-Royce,B-,8,2018
Chris,,1428.96,1503.72,8,380.l.236583.t.3,2,26,My Ball Zack Ertz,B,7,2018
Jeremy,,1460.02,1611.64,9,380.l.236583.t.10,2,8,Jonesin' for the W,B,10,2018
Kevin,,1524.56,1661.2200000000003,10,380.l.236583.t.4,2,18,Deckers Barn animals,B,9,2018
