Manager,Draft_Position,Points_For,Points_Against,Rank,Team_Key,Trades,Transactions,Team,Draft_Grade,Playoff_Seed,Year
Shinn,,1622.86,1381.8999999999999,1,390.l.215172.t.4,7,81,Runningback U (JS),C,1,2019
Greg,,1412.26,1398.1000000000001,2,390.l.215172.t.6,5,50,Keenan & Bell (GF),C-,2,2019
Wesley,,1444.68,1510.22,3,390.l.215172.t.10,0,22,Ingram we trust,C+,5,2019
Peter Billups,,1443.4,1404.2999999999997,4,390.l.215172.t.3,3,30,PB’s Dumpster 🔥,B,3,2019
ryan,,1422.48,1482.6799999999998,5,390.l.215172.t.9,4,51,Big Waller Brand,B,6,2019
Pat,,1423.04,1403.6200000000001,6,390.l.215172.t.8,2,15,Push Ups in PrisonPA,A-,4,2019
Chris,,1301.16,1387.8,7,390.l.215172.t.7,5,36,Sherlock MaHomes,B-,10,2019
Jeremy,,1440.14,1445.4599999999998,8,390.l.215172.t.5,8,6,Sign it Melvin,A-,8,2019
Kevin,,1387.22,1413.8999999999999,9,390.l.215172.t.2,1,31,Deckers Barn animals,C+,7,2019
Tim,,1390.58,1459.8400000000001,10,390.l.215172.t.1,9,55,Chubbin Around,C,9,2019
