Manager,Draft_Position,Points_For,Points_Against,Rank,Team_Key,Trades,Transactions,Team,Draft_Grade,Playoff_Seed,Year
Chris,5,1483.68,1268.3000000000002,1,371.l.525547.t.9,0,13,Brady got' Dak,B,1,2017
Greg,7,1511.74,1409.9199999999998,2,371.l.525547.t.4,3,56,Krispy Kareem,C,6,2017
Wesley,3,1507.94,1379.74,3,371.l.525547.t.8,2,29,Give Goodell Zeke-a,C,2,2017
ryan,1,1305.82,1285.5800000000002,4,371.l.525547.t.3,0,41,99 probs DEF aint 1,A-,4,2017
Tim,8,1479.72,1448.22,5,371.l.525547.t.1,2,41,O.J.'s Parole Board,B,5,2017
Shinn,2,1402.3,1230.0600000000002,6,371.l.525547.t.2,7,91,Earth to JBear!,A,3,2017
Peter Billups,9,1061.12,1319.94,7,371.l.525547.t.5,1,27,The Crow Show,B+,8,2017
Pat,4,1303.58,1371.1,8,371.l.525547.t.7,1,19,Push Ups in Prison,B+,7,2017
Jeremy,6,1090.12,1264.8000000000002,9,371.l.525547.t.10,0,0,Vinatierrible,B,10,2017
Kevin,10,1287.46,1455.8200000000002,10,371.l.525547.t.6,2,29,Deckers Barn animals,C,9,2017
