Manager,Draft_Position,Points_For,Points_Against,Rank,Team_Key,Trades,Transactions,Team,Draft_Grade,Playoff_Seed,Year
Tim,,0.0,0.0,,406.l.103661.t.1,0,0,Fantasy Sidelines,B,,2021
Wesley,,0.0,0.0,,406.l.103661.t.2,0,2,Dak to the Future,B-,,2021
Kevin,,0.0,0.0,,406.l.103661.t.3,0,0,Fightin’ Blue Cock/Chubb/Wood,B,,2021
ryan,,0.0,0.0,,406.l.103661.t.4,0,1,King of the Hill,A-,,2021
Jeremy,,0.0,0.0,,406.l.103661.t.5,0,0,Gronk's Gurley Chubb,A-,,2021
Chris,,0.0,0.0,,406.l.103661.t.6,0,0,Wide Out University,C-,,2021
Greg,,0.0,0.0,,406.l.103661.t.7,0,0,Harris & Harris RBs at Law,C,,2021
Peter Billups,,0.0,0.0,,406.l.103661.t.8,0,0,Poor Decisions 😢,C+,,2021
Pat,,0.0,0.0,,406.l.103661.t.9,0,0,Push Ups in Prison,C,,2021
Shinn,,0.0,0.0,,406.l.103661.t.10,0,1,Running Back U,A,,2021
