Manager,Draft_Position,Points_For,Points_Against,Rank,Team_Key,Trades,Transactions,Team,Draft_Grade,Playoff_Seed,Year
Pat,,1645.78,1452.2799999999997,1,399.l.12514.t.7,0,30,Push Ups in Prison,B+,1,2020
Greg,,1529.1,1389.1200000000003,2,399.l.12514.t.5,2,43,Krispy Kareem 🍩,C,2,2020
Wesley,,1453.86,1395.2999999999997,3,399.l.12514.t.4,1,35,Beats by DeAndre,D+,5,2020
Peter Billups,,1643.58,1452.66,4,399.l.12514.t.6,4,35,Poor Decisions 😢,B-,3,2020
Jeremy,,1396.66,1498.7000000000003,5,399.l.12514.t.10,4,4,Gronk's Gurley Chubb,B,6,2020
Kevin,,1476.36,1416.7799999999997,6,399.l.12514.t.3,2,36,Butker is my lube,A-,4,2020
Chris,,1440.14,1515.1599999999999,7,399.l.12514.t.9,2,32,Jonesin' 4 A Win,B,7,2020
ryan,,1298.02,1381.5600000000002,8,399.l.12514.t.2,5,41,FreshPrinceOfHelaire,C,9,2020
Tim,,1344.5,1513.54,9,399.l.12514.t.1,8,68,Fantasy Sidelines,B,8,2020
Shinn,,1322.08,1534.98,10,399.l.12514.t.8,10,114,Table scraps,B,10,2020
