Manager,Draft_Position,Points_For,Points_Against,Rank,Team_Key,Trades,Transactions,Team,Draft_Grade,Playoff_Seed,Year
Greg,10,1457.92,1405.92,1,359.l.185373.t.4,5,40,Stairway to Evans,C-,5,2016
Pat,8,1389.24,1372.9,2,359.l.185373.t.7,0,13,Push Ups in Prison,B,2,2016
Peter Billups,9,1460.36,1425.42,3,359.l.185373.t.5,4,30,Lock Jaw Blowy,C-,1,2016
Tim,3,1299.8,1376.42,4,359.l.185373.t.1,3,46,2 Gurley's 1 Cup,B,6,2016
Jeremy,5,1515.62,1408.5800000000002,5,359.l.185373.t.10,1,2,Dez Nuts,B,4,2016
Wesley,7,1386.88,1314.1399999999999,6,359.l.185373.t.8,5,19,Breesus Christ,D,3,2016
Jake,4,1392.94,1353.44,7,359.l.185373.t.9,0,7,Brady didn't do it,B+,8,2016
ryan,1,1512.14,1475.6399999999999,8,359.l.185373.t.3,0,36,Arian Nation,B,7,2016
Shinn,2,1306.6,1474.2600000000002,9,359.l.185373.t.2,8,113,Adele Beckham Jr.,B,10,2016
Kevin,6,1312.9,1427.6799999999998,10,359.l.185373.t.6,2,17,Deckers Barn animals,C+,9,2016
