Manager,Draft_Position,Points_For,Points_Against,Rank,Team_Key,Trades,Transactions,Team,Draft_Grade,Playoff_Seed,Year
Greg,5,1609.92,1408.1,1,348.l.570821.t.4,6,41,CharcNado,B+,1,2015
ryan,9,1535.44,1472.9199999999998,2,348.l.570821.t.3,1,42,Shady Brady,B,2,2015
Peter Billups,8,1423.0,1345.7999999999997,3,348.l.570821.t.5,3,26,Lock Jaw Blowy,B,5,2015
Jake,4,1415.6,1377.34,4,348.l.570821.t.9,0,4,Brady didn't do it,B,3,2015
Wesley,2,1541.14,1417.3400000000001,5,348.l.570821.t.8,4,28,Playoffbound & Brown,B,4,2015
Jeremy,3,1407.08,1441.6000000000001,6,348.l.570821.t.10,2,6,Grahamer Nazis,C+,6,2015
Shinn,1,1306.26,1417.0000000000002,7,348.l.570821.t.2,6,56,Bragging Wrights,B,7,2015
Kevin,6,1406.34,1399.38,8,348.l.570821.t.6,0,14,Slob on my Cobb,A-,9,2015
Pat,7,1246.56,1454.12,9,348.l.570821.t.7,2,14,Brees in the Trap,B-,10,2015
Tim,10,1278.16,1435.9,10,348.l.570821.t.1,2,43,Gurley Bears,C,8,2015
