Manager,Draft_Position,Points_For,Points_Against,Rank,Team_Key,Trades,Transactions,Team,Draft_Grade,Playoff_Seed,Year
James,9,1425.26,1208.4600000000003,1,331.l.793441.t.6,5,44,Down with the Brown,B-,2,2014
Wes,1,1473.88,1352.74,2,331.l.793441.t.7,1,21,Assaulted by Nation,B+,1,2014
Tim,6,1358.78,1247.86,3,331.l.793441.t.5,2,43,Kelvin and not Cobbs,C,4,2014
Jeremy,4,1230.84,1201.8,4,331.l.793441.t.3,3,3,Fig Newtons ftw,B,6,2014
Jake,5,1236.34,1268.22,5,331.l.793441.t.4,1,3,Jake's Okay Team,A,5,2014
Greg,3,1215.42,1152.6200000000001,6,331.l.793441.t.10,1,37,RGIIIsome,B+,3,2014
Ryan,7,1122.04,1289.6999999999998,7,331.l.793441.t.1,1,31,The Sanchize,C+,9,2014
Kevin,10,1046.66,1296.2800000000002,8,331.l.793441.t.9,2,12,Feel the Brees,C,10,2014
Pete,8,1187.3,1306.86,9,331.l.793441.t.8,2,36,PIERCEd Nips,B,8,2014
Pat,2,1196.2,1168.1799999999998,10,331.l.793441.t.2,0,16,Staff Infection,B,7,2014
