Team_Key,Team,Year
273.l.777818.t.1,Taco,2012
273.l.777818.t.2,Bro Lo El Cunado,2012
273.l.777818.t.3,Cudde2,2012
273.l.777818.t.4,The Fear Boners,2012
273.l.777818.t.5,Role players for day,2012
273.l.777818.t.6,ELE,2012
273.l.777818.t.7,Goons,2012
273.l.777818.t.8,Potatum,2012
273.l.777818.t.9,Ruxin,2012
273.l.777818.t.10,Tebowners,2012
273.l.777818.t.11,La Flama Blanca,2012
273.l.777818.t.12,ghost,2012
314.l.731544.t.1,Jake's Team,2013
314.l.731544.t.2,Riley KKKooper,2013
314.l.731544.t.3,Ridley Me This,2013
314.l.731544.t.4,Shinnanigons,2013
314.l.731544.t.5,Vagina Slappers,2013
314.l.731544.t.6,Brian Dawson's Team,2013
314.l.731544.t.7,Johnson and Johnson,2013
314.l.731544.t.8,Dirty Duke Dawgs,2013
314.l.731544.t.9,Cleveland Steamers,2013
314.l.731544.t.10,Jacquizz on yo face,2013
314.l.731544.t.11,Talk Dirty to Me,2013
314.l.731544.t.12,Free Mustache Rides,2013
331.l.793441.t.1,The Sanchize,2014
331.l.793441.t.2,Staff Infection,2014
331.l.793441.t.3,Fig Newtons ftw,2014
331.l.793441.t.4,Jake's Okay Team,2014
331.l.793441.t.5,Kelvin and not Cobbs,2014
331.l.793441.t.6,Down with the Brown,2014
331.l.793441.t.7,Assaulted by Nation,2014
331.l.793441.t.8,PIERCEd Nips,2014
331.l.793441.t.9,Feel the Brees,2014
331.l.793441.t.10,RGIIIsome,2014
348.l.570821.t.1,Gurley Bears,2015
348.l.570821.t.2,Bragging Wrights,2015
348.l.570821.t.3,Shady Brady,2015
348.l.570821.t.4,CharcNado,2015
348.l.570821.t.5,Lock Jaw Blowy,2015
348.l.570821.t.6,Slob on my Cobb,2015
348.l.570821.t.7,Brees in the Trap,2015
348.l.570821.t.8,Playoffbound & Brown,2015
348.l.570821.t.9,Brady didn't do it,2015
348.l.570821.t.10,Grahamer Nazis,2015
359.l.185373.t.1,2 Gurley's 1 Cup,2016
359.l.185373.t.2,Adele Beckham Jr.,2016
359.l.185373.t.3,Arian Nation,2016
359.l.185373.t.4,Stairway to Evans,2016
359.l.185373.t.5,Lock Jaw Blowy,2016
359.l.185373.t.6,Deckers Barn animals,2016
359.l.185373.t.7,Push Ups in Prison,2016
359.l.185373.t.8,Breesus Christ,2016
359.l.185373.t.9,Brady didn't do it,2016
359.l.185373.t.10,Dez Nuts,2016
371.l.525547.t.1,O.J.'s Parole Board,2017
371.l.525547.t.2,Earth to JBear!,2017
371.l.525547.t.3,99 probs DEF aint 1,2017
371.l.525547.t.4,Krispy Kareem,2017
371.l.525547.t.5,The Crow Show,2017
371.l.525547.t.6,Deckers Barn animals,2017
371.l.525547.t.7,Push Ups in Prison,2017
371.l.525547.t.8,Give Goodell Zeke-a,2017
371.l.525547.t.9,Brady got' Dak,2017
371.l.525547.t.10,Vinatierrible,2017
380.l.236583.t.1,Turn ur head & Goff,2018
380.l.236583.t.2,Rolls-Royce,2018
380.l.236583.t.3,My Ball Zack Ertz,2018
380.l.236583.t.4,Deckers Barn animals,2018
380.l.236583.t.5,JMU Duke (Johnson)'s,2018
380.l.236583.t.6,TY for the Goodwin,2018
380.l.236583.t.7,Krispy Kareem,2018
380.l.236583.t.8,Push Ups in Prison,2018
380.l.236583.t.9,Easy Breesy,2018
380.l.236583.t.10,Jonesin' for the W,2018
390.l.215172.t.1,Chubbin Around,2019
390.l.215172.t.2,Deckers Barn animals,2019
390.l.215172.t.3,PB’s Dumpster 🔥,2019
390.l.215172.t.4,Runningback U (JS),2019
390.l.215172.t.5,Sign it Melvin,2019
390.l.215172.t.6,Keenan & Bell (GF),2019
390.l.215172.t.7,Sherlock MaHomes,2019
390.l.215172.t.8,Push Ups in PrisonPA,2019
390.l.215172.t.9,Big Waller Brand,2019
390.l.215172.t.10,Ingram we trust,2019
399.l.12514.t.1,Fantasy Sidelines,2020
399.l.12514.t.2,FreshPrinceOfHelaire,2020
399.l.12514.t.3,Butker is my lube,2020
399.l.12514.t.4,Beats by DeAndre,2020
399.l.12514.t.5,Krispy Kareem 🍩,2020
399.l.12514.t.6,Poor Decisions 😢,2020
399.l.12514.t.7,Push Ups in Prison,2020
399.l.12514.t.8,Table scraps,2020
399.l.12514.t.9,Jonesin' 4 A Win,2020
399.l.12514.t.10,Gronk's Gurley Chubb,2020
