Player_Key,Pos,Player,Team,Season
371.p.3727,K,Adam Vinatieri,Ind,2017
371.p.4269,K,Phil Dawson,Cle,2017
371.p.5046,K,Sebastian Janikowski,Sea,2017
371.p.5228,QB,Tom Brady,TB,2017
371.p.5479,QB,Drew Brees,NO,2017
371.p.5967,QB,Josh McCown,Hou,2017
371.p.6169,QB,Shaun Hill,Min,2017
371.p.6243,K,Matt Bryant,Atl,2017
371.p.6337,QB,Carson Palmer,Ari,2017
371.p.6390,WR,Anquan Boldin,Buf,2017
371.p.6405,TE,Jason Witten,LV,2017
371.p.6624,QB,Tony Romo,Dal,2017
371.p.6663,TE,Antonio Gates,LAC,2017
371.p.6760,QB,Eli Manning,NYG,2017
371.p.6762,WR,Larry Fitzgerald,Ari,2017
371.p.6763,QB,Philip Rivers,Ind,2017
371.p.6770,QB,Ben Roethlisberger,Pit,2017
371.p.6791,TE,Ben Watson,NE,2017
371.p.6849,QB,Matt Schaub,Atl,2017
371.p.6865,QB,Luke McCown,Dal,2017
371.p.7177,QB,Alex Smith,Was,2017
371.p.7200,QB,Aaron Rodgers,GB,2017
371.p.7223,K,Mike Nugent,Ari,2017
371.p.7237,WR,Vincent Jackson,TB,2017
371.p.7241,RB,Frank Gore,NYJ,2017
371.p.7306,RB,Darren Sproles,Phi,2017
371.p.7321,QB,Dan Orlovsky,LAR,2017
371.p.7389,QB,Derek Anderson,Buf,2017
371.p.7406,QB,Matt Cassel,Det,2017
371.p.7426,QB,Ryan Fitzpatrick,Was,2017
371.p.7505,K,Nick Novak,LAC,2017
371.p.7520,K,Robbie Gould,SF,2017
371.p.7695,RB,John Kuhn,GB,2017
371.p.7751,RB,Reggie Bush,Buf,2017
371.p.7755,TE,Vernon Davis,Was,2017
371.p.7760,QB,Jay Cutler,Mia,2017
371.p.7776,RB,DeAngelo Williams,Pit,2017
371.p.7777,TE,Marcedes Lewis,GB,2017
371.p.7798,QB,Kellen Clemens,LAC,2017
371.p.7802,TE,Anthony Fasano,Mia,2017
371.p.7867,K,Stephen Gostkowski,Ten,2017
371.p.7868,WR,Brandon Marshall,NO,2017
371.p.7924,TE,Delanie Walker,Ten,2017
371.p.8256,WR,Calvin Johnson,Det,2017
371.p.8261,RB,Adrian Peterson,Det,2017
371.p.8263,WR,Ted Ginn Jr.,Chi,2017
371.p.8266,RB,Marshawn Lynch,Sea,2017
371.p.8285,TE,Greg Olsen,Sea,2017
371.p.8297,QB,Drew Stanton,TB,2017
371.p.8416,TE,Brent Celek,Phi,2017
371.p.8432,K,Nick Folk,NE,2017
371.p.8447,K,Mason Crosby,GB,2017
371.p.8497,TE,Clark Harris,Cin,2017
371.p.8544,QB,Matt Moore,KC,2017
371.p.8565,K,Matt Prater,Ari,2017
371.p.8609,WR,Eric Weems,Ten,2017
