Player_Key,Pos,Player,Team,Season
359.p.3727,K,Adam Vinatieri,Ind,2016
359.p.4269,K,Phil Dawson,Cle,2016
359.p.5046,K,Sebastian Janikowski,Sea,2016
359.p.5228,QB,Tom Brady,TB,2016
359.p.5448,QB,Mike Vick,Pit,2016
359.p.5479,QB,Drew Brees,NO,2016
359.p.5521,WR,Steve Smith Sr.,Bal,2016
359.p.5854,K,Shayne Graham,Atl,2016
359.p.5967,QB,Josh McCown,Hou,2016
359.p.6169,QB,Shaun Hill,Min,2016
359.p.6243,K,Matt Bryant,Atl,2016
359.p.6337,QB,Carson Palmer,Ari,2016
359.p.6339,WR,Andre Johnson,Hou,2016
359.p.6390,WR,Anquan Boldin,Buf,2016
359.p.6405,TE,Jason Witten,LV,2016
359.p.6558,K,Josh Brown,NYG,2016
359.p.6624,QB,Tony Romo,Dal,2016
359.p.6663,TE,Antonio Gates,LAC,2016
359.p.6760,QB,Eli Manning,NYG,2016
359.p.6762,WR,Larry Fitzgerald,Ari,2016
359.p.6763,QB,Philip Rivers,Ind,2016
359.p.6770,QB,Ben Roethlisberger,Pit,2016
359.p.6783,RB,Steven Jackson,NE,2016
359.p.6791,TE,Ben Watson,NE,2016
359.p.6849,QB,Matt Schaub,Atl,2016
359.p.6865,QB,Luke McCown,Dal,2016
359.p.6896,K,Josh Scobee,Jax,2016
359.p.7027,WR,Wes Welker,LAR,2016
359.p.7177,QB,Alex Smith,Was,2016
359.p.7200,QB,Aaron Rodgers,GB,2016
359.p.7203,WR,Roddy White,Atl,2016
359.p.7223,K,Mike Nugent,Ari,2016
359.p.7237,WR,Vincent Jackson,TB,2016
359.p.7241,RB,Frank Gore,NYJ,2016
359.p.7306,RB,Darren Sproles,Phi,2016
359.p.7321,QB,Dan Orlovsky,LAR,2016
359.p.7389,QB,Derek Anderson,Buf,2016
359.p.7406,QB,Matt Cassel,Det,2016
359.p.7426,QB,Ryan Fitzpatrick,Was,2016
359.p.7492,WR,Nate Washington,NE,2016
359.p.7505,K,Nick Novak,LAC,2016
359.p.7520,K,Robbie Gould,SF,2016
359.p.7527,K,Shaun Suisham,Pit,2016
359.p.7544,WR,Lance Moore,NO,2016
359.p.7695,RB,John Kuhn,GB,2016
359.p.7751,RB,Reggie Bush,Buf,2016
359.p.7755,TE,Vernon Davis,Was,2016
359.p.7760,QB,Jay Cutler,Mia,2016
359.p.7776,RB,DeAngelo Williams,Pit,2016
359.p.7777,TE,Marcedes Lewis,GB,2016
359.p.7798,QB,Kellen Clemens,LAC,2016
359.p.7801,WR,Greg Jennings,Mia,2016
359.p.7802,TE,Anthony Fasano,Mia,2016
359.p.7806,WR,Devin Hester,Sea,2016
359.p.7813,QB,Tarvaris Jackson,Sea,2016
359.p.7830,QB,Charlie Whitehurst,Cle,2016
359.p.7847,TE,Owen Daniels,Den,2016
359.p.7858,WR,Jason Avant,KC,2016
359.p.7867,K,Stephen Gostkowski,Ten,2016
359.p.7868,WR,Brandon Marshall,NO,2016
359.p.7924,TE,Delanie Walker,Ten,2016
359.p.7943,QB,Bruce Gradkowski,Pit,2016
359.p.8001,WR,Marques Colston,NO,2016
359.p.8028,TE,Daniel Fells,NYG,2016
359.p.8063,RB,Fred Jackson,Buf,2016
359.p.8261,RB,Adrian Peterson,Det,2016
359.p.8263,WR,Ted Ginn Jr.,Chi,2016
359.p.8266,RB,Marshawn Lynch,Sea,2016
359.p.8277,WR,Dwayne Bowe,KC,2016
359.p.8285,TE,Greg Olsen,Sea,2016
359.p.8297,QB,Drew Stanton,TB,2016
359.p.8327,WR,Jacoby Jones,Bal,2016
359.p.8331,TE,Matt Spaeth,Pit,2016
359.p.8332,WR,James Jones,LAC,2016
359.p.8383,TE,Scott Chandler,NE,2016
359.p.8416,TE,Brent Celek,Phi,2016
359.p.8432,K,Nick Folk,NE,2016
359.p.8447,K,Mason Crosby,GB,2016
359.p.8497,TE,Clark Harris,Cin,2016
359.p.8504,RB,Ahmad Bradshaw,Ind,2016
359.p.8544,QB,Matt Moore,KC,2016
359.p.8561,RB,Pierre Thomas,Was,2016
359.p.8565,K,Matt Prater,Ari,2016
359.p.8609,WR,Eric Weems,Ten,2016
359.p.8780,QB,Matt Ryan,Atl,2016
359.p.8781,RB,Darren McFadden,Dal,2016
359.p.8790,RB,Jonathan Stewart,Car,2016
359.p.8795,QB,Joe Flacco,Phi,2016
359.p.8801,RB,Chris Johnson,Ten,2016
359.p.8813,WR,Jordy Nelson,LV,2016
359.p.8819,WR,Eddie Royal,Chi,2016
359.p.8821,RB,Matt Forte,NYJ,2016
359.p.8823,WR,Jerome Simpson,SF,2016
359.p.8826,WR,DeSean Jackson,LAR,2016
359.p.8834,QB,Chad Henne,KC,2016
359.p.8838,TE,Martellus Bennett,NE,2016
359.p.8850,RB,Jamaal Charles,KC,2016
359.p.8861,WR,Harry Douglas,Ten,2016
359.p.8862,TE,Craig Stevens,Ten,2016
359.p.8874,WR,Andre Caldwell,Det,2016
359.p.8907,TE,Gary Barnidge,Cle,2016
359.p.8912,RB,Jerome Felton,Buf,2016
359.p.8916,TE,Jacob Tamme,Atl,2016
359.p.8926,RB,Tim Hightower,SF,2016
359.p.8930,WR,Matthew Slater,NE,2016
359.p.8935,TE,Kellen Davis,NYJ,2016
359.p.8937,QB,Josh Johnson,NYJ,2016
359.p.8982,WR,Pierre Garcon,SF,2016
359.p.8986,QB,Matt Flynn,NO,2016
359.p.9001,WR,Stevie Johnson,LAC,2016
359.p.9010,RB,Justin Forsett,Den,2016
359.p.9032,K,Dan Carpenter,Buf,2016
359.p.9037,WR,Danny Amendola,Hou,2016
359.p.9043,RB,Mike Tolbert,Buf,2016
359.p.9066,K,Stephen Hauschka,Jax,2016
359.p.9149,TE,Matthew Mulligan,Det,2016
359.p.9158,RB,Marcel Reece,Sea,2016
359.p.9219,K,Connor Barth,Chi,2016
359.p.9265,QB,Matthew Stafford,LAR,2016
359.p.9269,QB,Mark Sanchez,Was,2016
359.p.9271,WR,Darrius Heyward-Bey,Pit,2016
359.p.9274,WR,Michael Crabtree,Ari,2016
359.p.9281,QB,Josh Freeman,Ind,2016
359.p.9283,WR,Jeremy Maclin,Bal,2016
359.p.9284,TE,Brandon Pettigrew,Det,2016
359.p.9286,WR,Percy Harvin,Buf,2016
359.p.9291,RB,Donald Brown,NE,2016
359.p.9293,WR,Hakeem Nicks,NO,2016
359.p.9294,WR,Kenny Britt,NE,2016
359.p.9317,RB,LeSean McCoy,TB,2016
359.p.9347,WR,Brandon Tate,NO,2016
359.p.9348,WR,Mike Wallace,Phi,2016
359.p.9353,TE,Jared Cook,LAC,2016
359.p.9362,TE,Chase Coffman,Ind,2016
359.p.9372,WR,Brian Hartline,Cle,2016
359.p.9388,WR,Louis Murphy,SF,2016
359.p.9444,TE,Zach Miller,Chi,2016
359.p.9448,TE,Bear Pascoe,NE,2016
359.p.9449,RB,Cedric Peerman,Cin,2016
359.p.9458,WR,Brandon Gibson,NE,2016
359.p.9466,TE,Brandon Myers,TB,2016
359.p.9472,TE,John Phillips,KC,2016
359.p.9496,WR,Julian Edelman,NE,2016
359.p.9505,TE,David Johnson,Pit,2016
359.p.9514,RB,Rashad Jennings,NYG,2016
359.p.9520,K,Ryan Succop,TB,2016
359.p.9526,K,Graham Gano,NYG,2016
359.p.9527,RB,Arian Foster,Mia,2016
359.p.9547,QB,Brian Hoyer,NE,2016
359.p.9560,RB,Danny Woodhead,Bal,2016
359.p.9666,RB,Darrel Young,Car,2016
359.p.9668,WR,Dobson Collins,Bal,2016
359.p.9678,QB,Chase Daniel,LAC,2016
359.p.9705,WR,Jordan Norwood,Den,2016
359.p.9707,RB,Antone Smith,TB,2016
359.p.23976,QB,Sam Bradford,Ari,2016
359.p.23984,RB,C.J. Spiller,KC,2016
359.p.23987,RB,Ryan Mathews,Phi,2016
359.p.23996,TE,Jermaine Gresham,Ari,2016
359.p.23997,WR,Demaryius Thomas,NYJ,2016
359.p.23999,WR,Dez Bryant,Bal,2016
359.p.24011,RB,Dexter McCluster,LAC,2016
359.p.24014,WR,Arrelious Benn,Jax,2016
359.p.24017,TE,Rob Gronkowski,TB,2016
359.p.24023,QB,Jimmy Clausen,Bal,2016
359.p.24026,RB,Toby Gerhart,Jax,2016
359.p.24035,WR,Golden Tate,NYG,2016
359.p.24045,TE,Ed Dickson,Sea,2016
359.p.24053,WR,Brandon LaFell,LV,2016
359.p.24057,WR,Emmanuel Sanders,Buf,2016
359.p.24060,QB,Colt McCoy,Ari,2016
359.p.24062,WR,Eric Decker,NE,2016
359.p.24063,WR,Andre Roberts,Hou,2016
359.p.24068,TE,Tony Moeaki,Chi,2016
359.p.24070,TE,Jimmy Graham,Chi,2016
359.p.24076,WR,Mike Williams,KC,2016
359.p.24082,WR,Marcus Easley,Buf,2016
359.p.24089,TE,Dennis Pitta,Bal,2016
359.p.24093,TE,Garrett Graham,Den,2016
359.p.24100,TE,Clay Harbor,NO,2016
359.p.24108,TE,Michael Hoomanawanui,NO,2016
359.p.24130,TE,Andrew Quarless,Det,2016
359.p.24135,WR,Riley Cooper,Phi,2016
359.p.24149,RB,Boobie Dixon,Buf,2016
359.p.24157,QB,Dan LeFevour,TB,2016
359.p.24161,TE,Anthony McCoy,Sea,2016
359.p.24169,RB,James Starks,GB,2016
359.p.24171,WR,Antonio Brown,TB,2016
359.p.24175,QB,Joe Webb III,NYG,2016
359.p.24182,WR,Kyle Williams,NYJ,2016
359.p.24198,WR,Marc Mariani,Ten,2016
359.p.24208,TE,Jim Dray,Ari,2016
359.p.24262,RB,Joique Bell,Det,2016
359.p.24272,WR,David Nelson,Pit,2016
359.p.24280,WR,Marlon Moore,Cle,2016
359.p.24303,TE,Jeff Cumberland,LAC,2016
359.p.24311,QB,Thad Lewis,Bal,2016
359.p.24318,RB,LeGarrette Blount,Det,2016
359.p.24400,RB,Chris Ivory,Buf,2016
359.p.24435,WR,Seyi Ajirotutu,Phi,2016
359.p.24436,WR,Bryan Walters,Jax,2016
359.p.24553,WR,Victor Cruz,Chi,2016
359.p.24608,TE,Logan Paulsen,Hou,2016
359.p.24735,RB,Will Tukuafu,Sea,2016
359.p.24760,RB,James Develin,NE,2016
359.p.24769,RB,Tyler Clutts,Dal,2016
359.p.24774,WR,Andrew Hawkins,NE,2016
359.p.24788,QB,Cam Newton,NE,2016
359.p.24791,WR,A.J. Green,Ari,2016
359.p.24793,WR,Julio Jones,Ten,2016
359.p.24797,QB,Blaine Gabbert,TB,2016
359.p.24799,QB,Christian Ponder,SF,2016
359.p.24815,RB,Mark Ingram II,Hou,2016
359.p.24822,QB,Andy Dalton,Chi,2016
359.p.24823,QB,Colin Kaepernick,SF,2016
359.p.24830,TE,Kyle Rudolph,NYG,2016
359.p.24834,TE,Lance Kendricks,LAC,2016
359.p.24843,RB,Shane Vereen,NO,2016
359.p.24845,WR,Torrey Smith,Car,2016
359.p.24846,WR,Greg Little,Ari,2016
359.p.24849,RB,Daniel Thomas,Mia,2016
359.p.24851,WR,Randall Cobb,GB,2016
359.p.24856,TE,Rob Housler,NE,2016
359.p.24858,RB,DeMarco Murray,Ten,2016
359.p.24860,RB,Stevan Ridley,Pit,2016
359.p.24861,QB,Ryan Mallett,Bal,2016
359.p.24866,WR,Leonard Hankerson,Buf,2016
359.p.24869,WR,Vincent Brown,NO,2016
359.p.24889,TE,Jordan Cameron,Mia,2016
359.p.24891,TE,Luke Stocker,Ten,2016
359.p.24892,RB,Roy Helu Jr.,LV,2016
359.p.24899,WR,Greg Salas,Buf,2016
359.p.24901,WR,Cecil Shorts III,TB,2016
359.p.24902,RB,Kendall Hunter,NO,2016
359.p.24912,RB,Taiwan Jones,Buf,2016
359.p.24913,RB,Bilal Powell,NYJ,2016
359.p.24916,TE,Julius Thomas,Mia,2016
359.p.24923,RB,Anthony Sherman,KC,2016
359.p.24932,RB,Jacquizz Rodgers,NO,2016
359.p.24936,RB,Dion Lewis,NYG,2016
359.p.24939,QB,T.J. Yates,Hou,2016
359.p.24940,WR,Jeremy Kerley,Buf,2016
359.p.24942,TE,Niles Paul,SF,2016
359.p.24946,TE,Lee Smith,Atl,2016
359.p.24954,WR,Ryan Whalen,SF,2016
359.p.24961,TE,Charles Clay,Ari,2016
359.p.24963,WR,Dwayne Harris,Chi,2016
359.p.24965,WR,Aldrick Robinson,Car,2016
359.p.24967,QB,Tyrod Taylor,Hou,2016
359.p.24968,TE,Richard Gordon,Den,2016
359.p.24970,RB,Jordan Todman,Hou,2016
359.p.24991,TE,Virgil Green,LAC,2016
359.p.24998,RB,Bruce Miller,Jax,2016
359.p.25046,QB,Jerrod Johnson,Dal,2016
359.p.25077,RB,Robert Hughes,Cle,2016
359.p.25105,WR,Doug Baldwin,Sea,2016
359.p.25106,WR,Ricardo Lockette,Sea,2016
359.p.25117,RB,DuJuan Harris,Jax,2016
359.p.25120,WR,Dontrelle Inman,Was,2016
359.p.25158,RB,Patrick DiMarco,Buf,2016
359.p.25171,QB,Scott Tolzien,Ind,2016
359.p.25178,WR,Chris Hogan,NO,2016
359.p.25223,TE,Konrad Reuland,Ind,2016
359.p.25234,WR,Andre Holmes,Den,2016
359.p.25238,RB,Matt Asiata,Det,2016
359.p.25291,TE,Kyle Nelson,SF,2016
359.p.25312,WR,Jeremy Ross,Ari,2016
359.p.25370,TE,Patrick Scales,Chi,2016
359.p.25379,WR,Kamar Aiken,Phi,2016
359.p.25427,K,Dan Bailey,Min,2016
359.p.25481,RB,Shaun Draughn,NYG,2016
359.p.25483,QB,McLeod Bethel-Thompson,Phi,2016
359.p.25594,WR,Chris Matthews,Bal,2016
359.p.25648,K,Kai Forbath,LAR,2016
359.p.25650,RB,Chase Reynolds,LAR,2016
359.p.25681,WR,Terrelle Pryor Sr.,Jax,2016
359.p.25703,TE,Larry Donnell,Bal,2016
359.p.25706,RB,Will Johnson,NYG,2016
359.p.25711,QB,Andrew Luck,Ind,2016
359.p.25712,QB,Robert Griffin III,Bal,2016
359.p.25713,RB,Trent Richardson,Bal,2016
359.p.25718,QB,Ryan Tannehill,Ten,2016
359.p.25723,WR,Michael Floyd,Bal,2016
359.p.25730,WR,Kendall Wright,Ari,2016
359.p.25732,QB,Brandon Weeden,Hou,2016
359.p.25741,RB,Doug Martin,LV,2016
359.p.25743,WR,Brian Quick,Was,2016
359.p.25744,TE,Coby Fleener,NO,2016
359.p.25753,WR,Stephen Hill,Car,2016
359.p.25755,WR,Alshon Jeffery,Phi,2016
359.p.25760,RB,Isaiah Pead,Mia,2016
359.p.25767,QB,Brock Osweiler,Mia,2016
359.p.25773,WR,Rueben Randle,Chi,2016
359.p.25774,TE,Dwayne Allen,Mia,2016
359.p.25777,RB,Ronnie Hillman,Dal,2016
359.p.25778,WR,DeVier Posey,Bal,2016
359.p.25779,WR,TJ Graham,Car,2016
359.p.25785,QB,Russell Wilson,Sea,2016
359.p.25793,WR,Mohamed Sanu,SF,2016
359.p.25794,RB,Bernard Pierce,Den,2016
359.p.25798,QB,Nick Foles,Chi,2016
359.p.25802,WR,T.Y. Hilton,Ind,2016
359.p.25806,WR,Chris Givens,Phi,2016
359.p.25807,RB,Lamar Miller,Was,2016
359.p.25810,WR,Travis Benjamin,SF,2016
359.p.25812,QB,Kirk Cousins,Min,2016
359.p.25816,RB,Robert Turbin,Sea,2016
359.p.25820,TE,Ladarius Green,Pit,2016
359.p.25826,TE,Orson Charles,Den,2016
359.p.25828,WR,Jarius Wright,Car,2016
359.p.25831,WR,Keshawn Martin,Det,2016
359.p.25832,WR,Nick Toon,LAR,2016
359.p.25837,TE,Adrien Robinson,NYJ,2016
359.p.25838,TE,Rhett Ellison,NYG,2016
359.p.25871,K,Randy Bullock,Det,2016
359.p.25876,WR,Marvin Jones Jr.,Jax,2016
359.p.25880,RB,Vick Ballard,NO,2016
359.p.25881,K,Greg Zuerlein,Dal,2016
359.p.25883,RB,Alfred Morris,NYG,2016
359.p.25885,K,Blair Walsh,NO,2016
359.p.25892,RB,Cyrus Gray,Atl,2016
359.p.25896,TE,James Hanna,Dal,2016
359.p.25901,RB,Daniel Herron,Buf,2016
359.p.25937,WR,Rishard Matthews,NO,2016
359.p.25939,RB,Bryce Brown,Sea,2016
359.p.25962,RB,Daryl Richardson,Ind,2016
359.p.25970,WR,Brittan Golden,NYG,2016
359.p.25991,WR,Jermaine Kearse,Det,2016
359.p.25992,TE,Sean McGrath,Det,2016
359.p.26000,TE,Chase Ford,Cle,2016
359.p.26002,TE,Emil Igwenagu,Ind,2016
359.p.26004,WR,Damaris Johnson,Ten,2016
359.p.26006,RB,Chris Polk,Hou,2016
359.p.26016,TE,Beau Brinkley,Ten,2016
359.p.26024,RB,Travaris Cadet,Car,2016
359.p.26060,WR,Cole Beasley,Buf,2016
359.p.26064,RB,Lance Dunbar,LAR,2016
359.p.26066,WR,Saalim Hakim,Cle,2016
359.p.26079,RB,Joe Banyard,Buf,2016
359.p.26083,WR,Jarrett Boykin,Buf,2016
359.p.26096,WR,Brenton Bersin,Car,2016
359.p.26108,WR,Josh Bellamy,NYJ,2016
359.p.26135,WR,LaRon Byrd,Car,2016
359.p.26154,QB,G.J. Kinne,NYG,2016
359.p.26203,TE,Dominique Jones,Mia,2016
359.p.26218,WR,Griff Whalen,LV,2016
359.p.26245,WR,Kashif Moore,KC,2016
359.p.26253,TE,Garrett Celek,SF,2016
359.p.26261,WR,Chris Owusu,NYJ,2016
359.p.26262,WR,Nathan Palmer,LV,2016
359.p.26264,K,Giorgio Tavecchio,Ten,2016
359.p.26266,WR,Brian Tyms,Ind,2016
359.p.26272,WR,Jeff Fuller,Sea,2016
359.p.26273,RB,Jonas Gray,Jax,2016
359.p.26317,QB,Matt Simms,Atl,2016
359.p.26346,QB,Austin Davis,Ten,2016
359.p.26347,TE,Cory Harkey,LAR,2016
359.p.26389,RB,Brandon Bolden,NE,2016
359.p.26399,QB,Kellen Moore,Dal,2016
359.p.26416,TE,Derek Carrier,LV,2016
359.p.26428,WR,Rod Streater,Cle,2016
359.p.26455,RB,Bobby Rainey,Bal,2016
359.p.26456,WR,Deonte Thompson,NYJ,2016
359.p.26463,QB,Matt Blanchard,Chi,2016
359.p.26464,WR,Joe Anderson,NYJ,2016
359.p.26483,QB,Case Keenum,Cle,2016
359.p.26488,RB,Jonathan Grimes,Jax,2016
359.p.26497,TE,Phillip Supernaw,Ten,2016
359.p.26518,TE,Cooper Helfet,LV,2016
359.p.26534,K,Justin Tucker,Bal,2016
359.p.26535,RB,Jamize Olawale,Dal,2016
359.p.26538,TE,Brandon Bostick,NYJ,2016
359.p.26547,QB,Alex Tanney,NYG,2016
359.p.26561,WR,Josh Gordon,Sea,2016
359.p.26583,TE,Andrew DePaola,Min,2016
359.p.26596,RB,Fozzy Whittaker,Car,2016
359.p.26601,RB,Austin Johnson,TB,2016
359.p.26612,TE,Darren Fells,Det,2016
359.p.26614,TE,Ifeanyi Momah,Ari,2016
359.p.26631,WR,Tavon Austin,Jax,2016
359.p.26639,QB,EJ Manuel,KC,2016
359.p.26644,TE,Tyler Eifert,Jax,2016
359.p.26650,WR,DeAndre Hopkins,Ari,2016
359.p.26652,WR,Cordarrelle Patterson,Atl,2016
359.p.26657,WR,Justin Hunter,Pit,2016
359.p.26658,TE,Zach Ertz,Phi,2016
359.p.26660,RB,Giovani Bernard,TB,2016
359.p.26662,QB,Geno Smith,Sea,2016
359.p.26664,WR,Robert Woods,LAR,2016
359.p.26670,TE,Gavin Escobar,Mia,2016
359.p.26671,RB,Le'Veon Bell,Bal,2016
359.p.26678,TE,Vance McDonald,Pit,2016
359.p.26681,RB,Montee Ball,NE,2016
359.p.26682,WR,Aaron Dobson,Ari,2016
359.p.26684,RB,Eddie Lacy,Sea,2016
359.p.26685,RB,Christine Michael,Ind,2016
359.p.26686,TE,Travis Kelce,KC,2016
359.p.26696,QB,Mike Glennon,NYG,2016
359.p.26697,WR,Terrance Williams,Dal,2016
359.p.26699,WR,Keenan Allen,LAC,2016
359.p.26701,WR,Marquise Goodwin,Chi,2016
359.p.26702,WR,Markus Wheaton,Phi,2016
359.p.26708,TE,Jordan Reed,SF,2016
359.p.26715,WR,Stedman Bailey,LAR,2016
359.p.26719,RB,Knile Davis,Chi,2016
359.p.26721,QB,Matt Barkley,Ten,2016
359.p.26725,WR,Josh Boyce,Cle,2016
359.p.26729,TE,Dion Sims,Chi,2016
359.p.26733,QB,Ryan Nassib,Jax,2016
359.p.26738,QB,Landry Jones,LV,2016
359.p.26751,WR,Quinton Patton,NYJ,2016
359.p.26753,RB,Kyle Juszczyk,SF,2016
359.p.26756,TE,Levine Toilolo,NYG,2016
359.p.26758,RB,Denard Robinson,Jax,2016
359.p.26763,RB,Stepfan Taylor,Ari,2016
