Player_Key,Pos,Player,Team,Season
399.p.3727,K,Adam Vinatieri,Ind,2020
399.p.5228,QB,Tom Brady,TB,2020
399.p.5479,QB,Drew Brees,NO,2020
399.p.5967,QB,Josh McCown,Hou,2020
399.p.6405,TE,Jason Witten,LV,2020
399.p.6762,WR,Larry Fitzgerald,Ari,2020
399.p.6763,QB,Philip Rivers,Ind,2020
399.p.6770,QB,Ben Roethlisberger,Pit,2020
399.p.6791,TE,Ben Watson,NE,2020
399.p.6849,QB,Matt Schaub,Atl,2020
399.p.7177,QB,Alex Smith,Was,2020
399.p.7200,QB,Aaron Rodgers,GB,2020
399.p.7223,K,Mike Nugent,Ari,2020
399.p.7241,RB,Frank Gore,NYJ,2020
399.p.7426,QB,Ryan Fitzpatrick,Was,2020
399.p.7520,K,Robbie Gould,SF,2020
399.p.7777,TE,Marcedes Lewis,GB,2020
399.p.7867,K,Stephen Gostkowski,Ten,2020
399.p.7924,TE,Delanie Walker,Ten,2020
399.p.8261,RB,Adrian Peterson,Det,2020
399.p.8263,WR,Ted Ginn Jr.,Chi,2020
399.p.8266,RB,Marshawn Lynch,Sea,2020
399.p.8285,TE,Greg Olsen,Sea,2020
399.p.8297,QB,Drew Stanton,TB,2020
399.p.8432,K,Nick Folk,NE,2020
399.p.8447,K,Mason Crosby,GB,2020
399.p.8497,TE,Clark Harris,Cin,2020
399.p.8544,QB,Matt Moore,KC,2020
399.p.8565,K,Matt Prater,Ari,2020
399.p.8780,QB,Matt Ryan,Atl,2020
399.p.8795,QB,Joe Flacco,Phi,2020
399.p.8826,WR,DeSean Jackson,LAR,2020
399.p.8834,QB,Chad Henne,KC,2020
399.p.8930,WR,Matthew Slater,NE,2020
399.p.9037,WR,Danny Amendola,Hou,2020
399.p.9066,K,Stephen Hauschka,Jax,2020
399.p.9265,QB,Matthew Stafford,LAR,2020
399.p.9317,RB,LeSean McCoy,TB,2020
399.p.9353,TE,Jared Cook,LAC,2020
399.p.9496,WR,Julian Edelman,NE,2020
399.p.9520,K,Ryan Succop,TB,2020
399.p.9526,K,Graham Gano,NYG,2020
399.p.9547,QB,Brian Hoyer,NE,2020
399.p.9678,QB,Chase Daniel,LAC,2020
399.p.23997,WR,Demaryius Thomas,NYJ,2020
399.p.23999,WR,Dez Bryant,Bal,2020
399.p.24017,TE,Rob Gronkowski,TB,2020
399.p.24035,WR,Golden Tate,NYG,2020
399.p.24045,TE,Ed Dickson,Sea,2020
399.p.24057,WR,Emmanuel Sanders,Buf,2020
399.p.24060,QB,Colt McCoy,Ari,2020
399.p.24063,WR,Andre Roberts,Hou,2020
399.p.24070,TE,Jimmy Graham,Chi,2020
399.p.24171,WR,Antonio Brown,TB,2020
399.p.24175,QB,Joe Webb III,NYG,2020
399.p.24760,RB,James Develin,NE,2020
399.p.24788,QB,Cam Newton,NE,2020
399.p.24791,WR,A.J. Green,Ari,2020
399.p.24793,WR,Julio Jones,Ten,2020
399.p.24797,QB,Blaine Gabbert,TB,2020
399.p.24815,RB,Mark Ingram II,Hou,2020
399.p.24822,QB,Andy Dalton,Chi,2020
