Player_Key,Pos,Player,Team,Season
390.p.3727,K,Adam Vinatieri,Ind,2019
390.p.4269,K,Phil Dawson,Cle,2019
390.p.5046,K,Sebastian Janikowski,Sea,2019
390.p.5228,QB,Tom Brady,TB,2019
390.p.5479,QB,Drew Brees,NO,2019
390.p.5967,QB,Josh McCown,Hou,2019
390.p.6243,K,Matt Bryant,Atl,2019
390.p.6405,TE,Jason Witten,LV,2019
390.p.6663,TE,Antonio Gates,LAC,2019
390.p.6760,QB,Eli Manning,NYG,2019
390.p.6762,WR,Larry Fitzgerald,Ari,2019
390.p.6763,QB,Philip Rivers,Ind,2019
390.p.6770,QB,Ben Roethlisberger,Pit,2019
390.p.6791,TE,Ben Watson,NE,2019
390.p.6849,QB,Matt Schaub,Atl,2019
390.p.7177,QB,Alex Smith,Was,2019
390.p.7200,QB,Aaron Rodgers,GB,2019
390.p.7223,K,Mike Nugent,Ari,2019
390.p.7241,RB,Frank Gore,NYJ,2019
390.p.7306,RB,Darren Sproles,Phi,2019
390.p.7389,QB,Derek Anderson,Buf,2019
390.p.7406,QB,Matt Cassel,Det,2019
390.p.7426,QB,Ryan Fitzpatrick,Was,2019
390.p.7520,K,Robbie Gould,SF,2019
390.p.7755,TE,Vernon Davis,Was,2019
390.p.7777,TE,Marcedes Lewis,GB,2019
390.p.7867,K,Stephen Gostkowski,Ten,2019
390.p.7924,TE,Delanie Walker,Ten,2019
390.p.8261,RB,Adrian Peterson,Det,2019
390.p.8263,WR,Ted Ginn Jr.,Chi,2019
390.p.8266,RB,Marshawn Lynch,Sea,2019
390.p.8285,TE,Greg Olsen,Sea,2019
390.p.8297,QB,Drew Stanton,TB,2019
390.p.8432,K,Nick Folk,NE,2019
390.p.8447,K,Mason Crosby,GB,2019
390.p.8497,TE,Clark Harris,Cin,2019
390.p.8544,QB,Matt Moore,KC,2019
390.p.8565,K,Matt Prater,Ari,2019
390.p.8780,QB,Matt Ryan,Atl,2019
390.p.8790,RB,Jonathan Stewart,Car,2019
390.p.8795,QB,Joe Flacco,Phi,2019
390.p.8813,WR,Jordy Nelson,LV,2019
390.p.8826,WR,DeSean Jackson,LAR,2019
390.p.8834,QB,Chad Henne,KC,2019
390.p.8930,WR,Matthew Slater,NE,2019
390.p.8937,QB,Josh Johnson,NYJ,2019
390.p.8982,WR,Pierre Garcon,SF,2019
390.p.9037,WR,Danny Amendola,Hou,2019
390.p.9066,K,Stephen Hauschka,Jax,2019
390.p.9265,QB,Matthew Stafford,LAR,2019
390.p.9269,QB,Mark Sanchez,Was,2019
390.p.9271,WR,Darrius Heyward-Bey,Pit,2019
390.p.9274,WR,Michael Crabtree,Ari,2019
390.p.9317,RB,LeSean McCoy,TB,2019
390.p.9348,WR,Mike Wallace,Phi,2019
390.p.9353,TE,Jared Cook,LAC,2019
390.p.9444,TE,Zach Miller,Chi,2019
390.p.9472,TE,John Phillips,KC,2019
390.p.9496,WR,Julian Edelman,NE,2019
390.p.9520,K,Ryan Succop,TB,2019
390.p.9526,K,Graham Gano,NYG,2019
390.p.9547,QB,Brian Hoyer,NE,2019
390.p.9678,QB,Chase Daniel,LAC,2019
390.p.23976,QB,Sam Bradford,Ari,2019
390.p.23996,TE,Jermaine Gresham,Ari,2019
390.p.23997,WR,Demaryius Thomas,NYJ,2019
390.p.23999,WR,Dez Bryant,Bal,2019
390.p.24017,TE,Rob Gronkowski,TB,2019
390.p.24035,WR,Golden Tate,NYG,2019
390.p.24045,TE,Ed Dickson,Sea,2019
390.p.24053,WR,Brandon LaFell,LV,2019
390.p.24057,WR,Emmanuel Sanders,Buf,2019
390.p.24060,QB,Colt McCoy,Ari,2019
390.p.24063,WR,Andre Roberts,Hou,2019
390.p.24070,TE,Jimmy Graham,Chi,2019
390.p.24108,TE,Michael Hoomanawanui,NO,2019
390.p.24171,WR,Antonio Brown,TB,2019
390.p.24175,QB,Joe Webb III,NYG,2019
390.p.24318,RB,LeGarrette Blount,Det,2019
390.p.24400,RB,Chris Ivory,Buf,2019
390.p.24608,TE,Logan Paulsen,Hou,2019
390.p.24760,RB,James Develin,NE,2019
390.p.24788,QB,Cam Newton,NE,2019
390.p.24791,WR,A.J. Green,Ari,2019
390.p.24793,WR,Julio Jones,Ten,2019
390.p.24797,QB,Blaine Gabbert,TB,2019
390.p.24815,RB,Mark Ingram II,Hou,2019
390.p.24822,QB,Andy Dalton,Chi,2019
390.p.24823,QB,Colin Kaepernick,SF,2019
390.p.24830,TE,Kyle Rudolph,NYG,2019
390.p.24834,TE,Lance Kendricks,LAC,2019
390.p.24845,WR,Torrey Smith,Car,2019
390.p.24851,WR,Randall Cobb,GB,2019
390.p.24860,RB,Stevan Ridley,Pit,2019
390.p.24891,TE,Luke Stocker,Ten,2019
390.p.24912,RB,Taiwan Jones,Buf,2019
390.p.24913,RB,Bilal Powell,NYJ,2019
390.p.24923,RB,Anthony Sherman,KC,2019
390.p.24932,RB,Jacquizz Rodgers,NO,2019
390.p.24936,RB,Dion Lewis,NYG,2019
390.p.24942,TE,Niles Paul,SF,2019
390.p.24946,TE,Lee Smith,Atl,2019
390.p.24961,TE,Charles Clay,Ari,2019
390.p.24963,WR,Dwayne Harris,Chi,2019
390.p.24965,WR,Aldrick Robinson,Car,2019
390.p.24967,QB,Tyrod Taylor,Hou,2019
390.p.24991,TE,Virgil Green,LAC,2019
390.p.25105,WR,Doug Baldwin,Sea,2019
390.p.25120,WR,Dontrelle Inman,Was,2019
390.p.25158,RB,Patrick DiMarco,Buf,2019
390.p.25178,WR,Chris Hogan,NO,2019
390.p.25234,WR,Andre Holmes,Den,2019
390.p.25291,TE,Kyle Nelson,SF,2019
390.p.25295,RB,Nick Bellore,Sea,2019
390.p.25370,TE,Patrick Scales,Chi,2019
390.p.25427,K,Dan Bailey,Min,2019
390.p.25648,K,Kai Forbath,LAR,2019
390.p.25681,WR,Terrelle Pryor Sr.,Jax,2019
390.p.25711,QB,Andrew Luck,Ind,2019
390.p.25712,QB,Robert Griffin III,Bal,2019
390.p.25718,QB,Ryan Tannehill,Ten,2019
390.p.25723,WR,Michael Floyd,Bal,2019
390.p.25732,QB,Brandon Weeden,Hou,2019
390.p.25741,RB,Doug Martin,LV,2019
390.p.25743,WR,Brian Quick,Was,2019
390.p.25755,WR,Alshon Jeffery,Phi,2019
390.p.25767,QB,Brock Osweiler,Mia,2019
390.p.25774,TE,Dwayne Allen,Mia,2019
390.p.25785,QB,Russell Wilson,Sea,2019
390.p.25793,WR,Mohamed Sanu,SF,2019
390.p.25798,QB,Nick Foles,Chi,2019
390.p.25802,WR,T.Y. Hilton,Ind,2019
390.p.25807,RB,Lamar Miller,Was,2019
390.p.25810,WR,Travis Benjamin,SF,2019
390.p.25812,QB,Kirk Cousins,Min,2019
390.p.25816,RB,Robert Turbin,Sea,2019
390.p.25826,TE,Orson Charles,Den,2019
390.p.25828,WR,Jarius Wright,Car,2019
390.p.25838,TE,Rhett Ellison,NYG,2019
390.p.25871,K,Randy Bullock,Det,2019
390.p.25876,WR,Marvin Jones Jr.,Jax,2019
390.p.25881,K,Greg Zuerlein,Dal,2019
390.p.25883,RB,Alfred Morris,NYG,2019
390.p.25885,K,Blair Walsh,NO,2019
390.p.25937,WR,Rishard Matthews,NO,2019
390.p.25970,WR,Brittan Golden,NYG,2019
390.p.25991,WR,Jermaine Kearse,Det,2019
390.p.26016,TE,Beau Brinkley,Ten,2019
390.p.26024,RB,Travaris Cadet,Car,2019
390.p.26050,TE,Bradley Sowell,Chi,2019
390.p.26060,WR,Cole Beasley,Buf,2019
390.p.26108,WR,Josh Bellamy,NYJ,2019
390.p.26253,TE,Garrett Celek,SF,2019
390.p.26264,K,Giorgio Tavecchio,Ten,2019
390.p.26299,RB,Derrick Coleman,Ari,2019
390.p.26317,QB,Matt Simms,Atl,2019
390.p.26389,RB,Brandon Bolden,NE,2019
390.p.26416,TE,Derek Carrier,LV,2019
390.p.26428,WR,Rod Streater,Cle,2019
390.p.26456,WR,Deonte Thompson,NYJ,2019
390.p.26483,QB,Case Keenum,Cle,2019
390.p.26534,K,Justin Tucker,Bal,2019
390.p.26535,RB,Jamize Olawale,Dal,2019
390.p.26547,QB,Alex Tanney,NYG,2019
390.p.26561,WR,Josh Gordon,Sea,2019
390.p.26583,TE,Andrew DePaola,Min,2019
