Player_Key,Pos,Player,Team,Season
380.p.3727,K,Adam Vinatieri,Ind,2018
380.p.4269,K,Phil Dawson,Cle,2018
380.p.5046,K,Sebastian Janikowski,Sea,2018
380.p.5228,QB,Tom Brady,TB,2018
380.p.5479,QB,Drew Brees,NO,2018
380.p.5967,QB,Josh McCown,Hou,2018
380.p.6243,K,Matt Bryant,Atl,2018
380.p.6405,TE,Jason Witten,LV,2018
380.p.6663,TE,Antonio Gates,LAC,2018
380.p.6760,QB,Eli Manning,NYG,2018
380.p.6762,WR,Larry Fitzgerald,Ari,2018
380.p.6763,QB,Philip Rivers,Ind,2018
380.p.6770,QB,Ben Roethlisberger,Pit,2018
380.p.6791,TE,Ben Watson,NE,2018
380.p.6849,QB,Matt Schaub,Atl,2018
380.p.7177,QB,Alex Smith,Was,2018
380.p.7200,QB,Aaron Rodgers,GB,2018
380.p.7223,K,Mike Nugent,Ari,2018
380.p.7241,RB,Frank Gore,NYJ,2018
380.p.7306,RB,Darren Sproles,Phi,2018
380.p.7389,QB,Derek Anderson,Buf,2018
380.p.7406,QB,Matt Cassel,Det,2018
380.p.7426,QB,Ryan Fitzpatrick,Was,2018
380.p.7505,K,Nick Novak,LAC,2018
380.p.7520,K,Robbie Gould,SF,2018
380.p.7755,TE,Vernon Davis,Was,2018
380.p.7760,QB,Jay Cutler,Mia,2018
380.p.7777,TE,Marcedes Lewis,GB,2018
380.p.7798,QB,Kellen Clemens,LAC,2018
380.p.7802,TE,Anthony Fasano,Mia,2018
380.p.7867,K,Stephen Gostkowski,Ten,2018
380.p.7868,WR,Brandon Marshall,NO,2018
380.p.7924,TE,Delanie Walker,Ten,2018
380.p.8261,RB,Adrian Peterson,Det,2018
380.p.8263,WR,Ted Ginn Jr.,Chi,2018
380.p.8266,RB,Marshawn Lynch,Sea,2018
380.p.8285,TE,Greg Olsen,Sea,2018
380.p.8297,QB,Drew Stanton,TB,2018
380.p.8416,TE,Brent Celek,Phi,2018
380.p.8432,K,Nick Folk,NE,2018
380.p.8447,K,Mason Crosby,GB,2018
380.p.8497,TE,Clark Harris,Cin,2018
380.p.8544,QB,Matt Moore,KC,2018
380.p.8565,K,Matt Prater,Ari,2018
380.p.8609,WR,Eric Weems,Ten,2018
380.p.8780,QB,Matt Ryan,Atl,2018
380.p.8790,RB,Jonathan Stewart,Car,2018
380.p.8795,QB,Joe Flacco,Phi,2018
380.p.8813,WR,Jordy Nelson,LV,2018
380.p.8826,WR,DeSean Jackson,LAR,2018
380.p.8834,QB,Chad Henne,KC,2018
380.p.8850,RB,Jamaal Charles,KC,2018
380.p.8861,WR,Harry Douglas,Ten,2018
380.p.8930,WR,Matthew Slater,NE,2018
380.p.8937,QB,Josh Johnson,NYJ,2018
380.p.8982,WR,Pierre Garcon,SF,2018
380.p.9037,WR,Danny Amendola,Hou,2018
380.p.9043,RB,Mike Tolbert,Buf,2018
380.p.9066,K,Stephen Hauschka,Jax,2018
380.p.9265,QB,Matthew Stafford,LAR,2018
380.p.9269,QB,Mark Sanchez,Was,2018
380.p.9271,WR,Darrius Heyward-Bey,Pit,2018
380.p.9274,WR,Michael Crabtree,Ari,2018
380.p.9283,WR,Jeremy Maclin,Bal,2018
380.p.9294,WR,Kenny Britt,NE,2018
380.p.9317,RB,LeSean McCoy,TB,2018
380.p.9347,WR,Brandon Tate,NO,2018
380.p.9348,WR,Mike Wallace,Phi,2018
380.p.9353,TE,Jared Cook,LAC,2018
380.p.9388,WR,Louis Murphy,SF,2018
380.p.9444,TE,Zach Miller,Chi,2018
380.p.9449,RB,Cedric Peerman,Cin,2018
380.p.9472,TE,John Phillips,KC,2018
380.p.9496,WR,Julian Edelman,NE,2018
380.p.9520,K,Ryan Succop,TB,2018
380.p.9526,K,Graham Gano,NYG,2018
380.p.9547,QB,Brian Hoyer,NE,2018
380.p.9678,QB,Chase Daniel,LAC,2018
380.p.23976,QB,Sam Bradford,Ari,2018
380.p.23996,TE,Jermaine Gresham,Ari,2018
380.p.23997,WR,Demaryius Thomas,NYJ,2018
380.p.23999,WR,Dez Bryant,Bal,2018
380.p.24014,WR,Arrelious Benn,Jax,2018
380.p.24017,TE,Rob Gronkowski,TB,2018
380.p.24035,WR,Golden Tate,NYG,2018
380.p.24045,TE,Ed Dickson,Sea,2018
380.p.24053,WR,Brandon LaFell,LV,2018
380.p.24057,WR,Emmanuel Sanders,Buf,2018
380.p.24060,QB,Colt McCoy,Ari,2018
380.p.24062,WR,Eric Decker,NE,2018
380.p.24063,WR,Andre Roberts,Hou,2018
380.p.24070,TE,Jimmy Graham,Chi,2018
380.p.24100,TE,Clay Harbor,NO,2018
380.p.24108,TE,Michael Hoomanawanui,NO,2018
380.p.24171,WR,Antonio Brown,TB,2018
380.p.24175,QB,Joe Webb III,NYG,2018
380.p.24303,TE,Jeff Cumberland,LAC,2018
380.p.24318,RB,LeGarrette Blount,Det,2018
380.p.24400,RB,Chris Ivory,Buf,2018
380.p.24608,TE,Logan Paulsen,Hou,2018
380.p.24760,RB,James Develin,NE,2018
380.p.24788,QB,Cam Newton,NE,2018
380.p.24791,WR,A.J. Green,Ari,2018
380.p.24793,WR,Julio Jones,Ten,2018
380.p.24797,QB,Blaine Gabbert,TB,2018
380.p.24815,RB,Mark Ingram II,Hou,2018
380.p.24822,QB,Andy Dalton,Chi,2018
380.p.24830,TE,Kyle Rudolph,NYG,2018
380.p.24834,TE,Lance Kendricks,LAC,2018
380.p.24843,RB,Shane Vereen,NO,2018
380.p.24845,WR,Torrey Smith,Car,2018
380.p.24846,WR,Greg Little,Ari,2018
380.p.24851,WR,Randall Cobb,GB,2018
380.p.24858,RB,DeMarco Murray,Ten,2018
380.p.24860,RB,Stevan Ridley,Pit,2018
380.p.24861,QB,Ryan Mallett,Bal,2018
380.p.24891,TE,Luke Stocker,Ten,2018
380.p.24912,RB,Taiwan Jones,Buf,2018
380.p.24913,RB,Bilal Powell,NYJ,2018
380.p.24916,TE,Julius Thomas,Mia,2018
380.p.24923,RB,Anthony Sherman,KC,2018
380.p.24932,RB,Jacquizz Rodgers,NO,2018
380.p.24936,RB,Dion Lewis,NYG,2018
380.p.24939,QB,T.J. Yates,Hou,2018
380.p.24940,WR,Jeremy Kerley,Buf,2018
380.p.24942,TE,Niles Paul,SF,2018
380.p.24946,TE,Lee Smith,Atl,2018
380.p.24961,TE,Charles Clay,Ari,2018
380.p.24963,WR,Dwayne Harris,Chi,2018
380.p.24965,WR,Aldrick Robinson,Car,2018
380.p.24967,QB,Tyrod Taylor,Hou,2018
380.p.24970,RB,Jordan Todman,Hou,2018
380.p.24991,TE,Virgil Green,LAC,2018
380.p.25105,WR,Doug Baldwin,Sea,2018
380.p.25120,WR,Dontrelle Inman,Was,2018
380.p.25158,RB,Patrick DiMarco,Buf,2018
380.p.25171,QB,Scott Tolzien,Ind,2018
380.p.25178,WR,Chris Hogan,NO,2018
380.p.25234,WR,Andre Holmes,Den,2018
380.p.25291,TE,Kyle Nelson,SF,2018
380.p.25370,TE,Patrick Scales,Chi,2018
380.p.25379,WR,Kamar Aiken,Phi,2018
380.p.25427,K,Dan Bailey,Min,2018
380.p.25648,K,Kai Forbath,LAR,2018
380.p.25681,WR,Terrelle Pryor Sr.,Jax,2018
380.p.25711,QB,Andrew Luck,Ind,2018
380.p.25712,QB,Robert Griffin III,Bal,2018
380.p.25718,QB,Ryan Tannehill,Ten,2018
380.p.25723,WR,Michael Floyd,Bal,2018
380.p.25730,WR,Kendall Wright,Ari,2018
380.p.25732,QB,Brandon Weeden,Hou,2018
380.p.25741,RB,Doug Martin,LV,2018
380.p.25743,WR,Brian Quick,Was,2018
380.p.25744,TE,Coby Fleener,NO,2018
380.p.25755,WR,Alshon Jeffery,Phi,2018
380.p.25767,QB,Brock Osweiler,Mia,2018
380.p.25774,TE,Dwayne Allen,Mia,2018
380.p.25778,WR,DeVier Posey,Bal,2018
380.p.25785,QB,Russell Wilson,Sea,2018
380.p.25793,WR,Mohamed Sanu,SF,2018
380.p.25798,QB,Nick Foles,Chi,2018
380.p.25802,WR,T.Y. Hilton,Ind,2018
380.p.25807,RB,Lamar Miller,Was,2018
