Player_Key,Pos,Player,Team,Season
406.p.5228,QB,Tom Brady,TB,2021
406.p.6762,WR,Larry Fitzgerald,Ari,2021
406.p.6770,QB,Ben Roethlisberger,Pit,2021
406.p.7200,QB,Aaron Rodgers,GB,2021
406.p.7426,QB,Ryan Fitzpatrick,Was,2021
406.p.7520,K,Robbie Gould,SF,2021
406.p.7777,TE,Marcedes Lewis,GB,2021
406.p.7867,K,Stephen Gostkowski,Ten,2021
406.p.8261,RB,Adrian Peterson,Det,2021
406.p.8432,K,Nick Folk,NE,2021
406.p.8447,K,Mason Crosby,GB,2021
406.p.8497,TE,Clark Harris,Cin,2021
406.p.8565,K,Matt Prater,Ari,2021
406.p.8780,QB,Matt Ryan,Atl,2021
406.p.8795,QB,Joe Flacco,Phi,2021
406.p.8826,WR,DeSean Jackson,LAR,2021
406.p.8834,QB,Chad Henne,KC,2021
406.p.8930,WR,Matthew Slater,NE,2021
406.p.8937,QB,Josh Johnson,NYJ,2021
406.p.9037,WR,Danny Amendola,Hou,2021
406.p.9265,QB,Matthew Stafford,LAR,2021
406.p.9353,TE,Jared Cook,LAC,2021
406.p.9520,K,Ryan Succop,TB,2021
406.p.9526,K,Graham Gano,NYG,2021
406.p.9547,QB,Brian Hoyer,NE,2021
406.p.9678,QB,Chase Daniel,LAC,2021
406.p.24000,TE,Tim Tebow,Jax,2021
406.p.24017,TE,Rob Gronkowski,TB,2021
406.p.24035,WR,Golden Tate,NYG,2021
406.p.24057,WR,Emmanuel Sanders,Buf,2021
406.p.24060,QB,Colt McCoy,Ari,2021
406.p.24063,WR,Andre Roberts,Hou,2021
406.p.24070,TE,Jimmy Graham,Chi,2021
406.p.24171,WR,Antonio Brown,TB,2021
406.p.24175,QB,Joe Webb III,NYG,2021
406.p.24788,QB,Cam Newton,NE,2021
406.p.24791,WR,A.J. Green,Ari,2021
406.p.24793,WR,Julio Jones,Ten,2021
406.p.24797,QB,Blaine Gabbert,TB,2021
406.p.24815,RB,Mark Ingram II,Hou,2021
406.p.24822,QB,Andy Dalton,Chi,2021
406.p.24830,TE,Kyle Rudolph,NYG,2021
406.p.24851,WR,Randall Cobb,GB,2021
406.p.24891,TE,Luke Stocker,Ten,2021
406.p.24912,RB,Taiwan Jones,Buf,2021
406.p.24946,TE,Lee Smith,Atl,2021
406.p.24967,QB,Tyrod Taylor,Hou,2021
406.p.25178,WR,Chris Hogan,NO,2021
406.p.25295,RB,Nick Bellore,Sea,2021
406.p.25370,TE,Patrick Scales,Chi,2021
406.p.25427,K,Dan Bailey,Min,2021
406.p.25718,QB,Ryan Tannehill,Ten,2021
406.p.25755,WR,Alshon Jeffery,Phi,2021
406.p.25785,QB,Russell Wilson,Sea,2021
406.p.25793,WR,Mohamed Sanu,SF,2021
406.p.25798,QB,Nick Foles,Chi,2021
406.p.25802,WR,T.Y. Hilton,Ind,2021
406.p.25807,RB,Lamar Miller,Was,2021
406.p.25810,WR,Travis Benjamin,SF,2021
406.p.25812,QB,Kirk Cousins,Min,2021
406.p.25871,K,Randy Bullock,Det,2021
406.p.25876,WR,Marvin Jones Jr.,Jax,2021
406.p.25881,K,Greg Zuerlein,Dal,2021
406.p.25883,RB,Alfred Morris,NYG,2021
406.p.26060,WR,Cole Beasley,Buf,2021
406.p.26389,RB,Brandon Bolden,NE,2021
406.p.26416,TE,Derek Carrier,LV,2021
406.p.26483,QB,Case Keenum,Cle,2021
406.p.26534,K,Justin Tucker,Bal,2021
406.p.26583,TE,Andrew DePaola,Min,2021
406.p.26612,TE,Darren Fells,Det,2021
406.p.26631,WR,Tavon Austin,Jax,2021
406.p.26644,TE,Tyler Eifert,Jax,2021
406.p.26650,WR,DeAndre Hopkins,Ari,2021
406.p.26652,WR,Cordarrelle Patterson,Atl,2021
406.p.26658,TE,Zach Ertz,Phi,2021
406.p.26660,RB,Giovani Bernard,TB,2021
406.p.26662,QB,Geno Smith,Sea,2021
406.p.26664,WR,Robert Woods,LAR,2021
406.p.26671,RB,Le'Veon Bell,Bal,2021
406.p.26686,TE,Travis Kelce,KC,2021
406.p.26696,QB,Mike Glennon,NYG,2021
406.p.26699,WR,Keenan Allen,LAC,2021
406.p.26701,WR,Marquise Goodwin,Chi,2021
406.p.26721,QB,Matt Barkley,Ten,2021
406.p.26753,RB,Kyle Juszczyk,SF,2021
406.p.26756,TE,Levine Toilolo,NYG,2021
406.p.26777,RB,Chris Thompson,Jax,2021
406.p.26781,TE,Luke Willson,Sea,2021
406.p.26800,K,Dustin Hopkins,Was,2021
406.p.26804,RB,Latavius Murray,NO,2021
406.p.26813,RB,Rex Burkhead,Hou,2021
406.p.26822,RB,Theo Riddick,LV,2021
406.p.26824,TE,Ryan Griffin,NYJ,2021
406.p.26949,QB,Ryan Griffin,TB,2021
406.p.26950,TE,Josh Hill,Det,2021
406.p.27120,K,Brandon McManus,Den,2021
406.p.27174,TE,Demetrius Harris,Ari,2021
406.p.27277,WR,Adam Thielen,Min,2021
406.p.27299,TE,Jack Doyle,Ind,2021
406.p.27369,K,Brett Maher,NO,2021
406.p.27494,TE,James Winchester,KC,2021
406.p.27531,QB,Blake Bortles,GB,2021
406.p.27532,WR,Sammy Watkins,Bal,2021
406.p.27535,WR,Mike Evans,TB,2021
406.p.27538,TE,Eric Ebron,Pit,2021
406.p.27540,WR,Odell Beckham Jr.,Cle,2021
406.p.27548,WR,Brandin Cooks,Hou,2021
406.p.27556,WR,Kelvin Benjamin,NYG,2021
406.p.27560,QB,Teddy Bridgewater,Den,2021
406.p.27564,QB,Derek Carr,LV,2021
406.p.27567,WR,Marqise Lee,SF,2021
406.p.27570,TE,Jordan Matthews,SF,2021
406.p.27581,WR,Davante Adams,GB,2021
406.p.27585,RB,Carlos Hyde,Jax,2021
406.p.27589,WR,Allen Robinson II,Chi,2021
406.p.27590,QB,Jimmy Garoppolo,SF,2021
406.p.27591,WR,Jarvis Landry,Cle,2021
406.p.27618,WR,Donte Moncrief,Hou,2021
406.p.27619,WR,John Brown,LV,2021
406.p.27624,RB,Jerick McKinnon,KC,2021
406.p.27626,TE,Richard Rodgers,Phi,2021
406.p.27631,RB,Devonta Freeman,NO,2021
406.p.27648,TE,Logan Thomas,Was,2021
406.p.27658,RB,James White,NE,2021
406.p.27692,QB,AJ McCarron,Atl,2021
406.p.27732,RB,Tyler Gaffney,NE,2021
406.p.27742,QB,Garrett Gilbert,NE,2021
406.p.27789,TE,Trey Burton,Ind,2021
406.p.27826,WR,Bennie Fowler III,SF,2021
406.p.27874,WR,Allen Hurns,Mia,2021
406.p.27911,K,Cody Parkey,Cle,2021
406.p.28026,WR,Willie Snead IV,LV,2021
406.p.28046,WR,Albert Wilson,Mia,2021
406.p.28115,RB,Damien Williams,Chi,2021
406.p.28141,RB,Keith Smith,Atl,2021
406.p.28188,K,Chris Boswell,Pit,2021
406.p.28221,TE,Tyler Ott,Sea,2021
406.p.28227,K,Cairo Santos,Chi,2021
406.p.28267,TE,Cameron Brate,TB,2021
406.p.28279,WR,Diontae Spencer,Den,2021
406.p.28365,TE,Chris Manhertz,Jax,2021
406.p.28378,K,Jason Myers,Sea,2021
406.p.28389,QB,Jameis Winston,NO,2021
406.p.28390,QB,Marcus Mariota,LV,2021
406.p.28392,WR,Amari Cooper,Dal,2021
406.p.28395,WR,Kevin White,NO,2021
406.p.28398,RB,Todd Gurley II,Atl,2021
406.p.28402,WR,DeVante Parker,Mia,2021
406.p.28403,RB,Melvin Gordon III,Den,2021
406.p.28408,WR,Nelson Agholor,NE,2021
406.p.28414,WR,Breshad Perriman,Chi,2021
406.p.28417,WR,Phillip Dorsett II,Jax,2021
406.p.28425,WR,Devin Smith,Jax,2021
406.p.28429,WR,Devin Funchess,GB,2021
406.p.28442,RB,Ameer Abdullah,Min,2021
406.p.28443,TE,Maxx Williams,Ari,2021
406.p.28457,WR,Tyler Lockett,Sea,2021
406.p.28461,RB,Tevin Coleman,NYJ,2021
406.p.28464,WR,Chris Conley,Hou,2021
406.p.28465,RB,Duke Johnson,Jax,2021
406.p.28473,TE,Tyler Kroft,NYJ,2021
406.p.28474,RB,David Johnson,Hou,2021
406.p.28477,QB,Sean Mannion,Min,2021
406.p.28482,RB,Ty Montgomery,NO,2021
406.p.28493,WR,Jamison Crowder,NYJ,2021
406.p.28495,WR,Justin Hardy,Chi,2021
406.p.28505,TE,Blake Bell,KC,2021
406.p.28514,RB,Mike Davis,Atl,2021
406.p.28531,TE,MyCole Pruitt,Ten,2021
406.p.28534,WR,Stefon Diggs,Buf,2021
406.p.28535,QB,Brett Hundley,Ind,2021
406.p.28545,TE,C.J. Uzomah,Cin,2021
406.p.28547,WR,J.J. Nelson,Ind,2021
406.p.28548,TE,Jesse James,Chi,2021
406.p.28556,RB,Michael Burton,KC,2021
406.p.28559,TE,Nick Boyle,Bal,2021
406.p.28561,TE,James O'Shaughnessy,Jax,2021
406.p.28592,TE,Darren Waller,LV,2021
406.p.28634,TE,Geoff Swaim,Ten,2021
406.p.28638,QB,Trevor Siemian,NO,2021
406.p.28654,RB,Raheem Mostert,SF,2021
406.p.28658,TE,Eric Tomlinson,Bal,2021
406.p.28685,K,Josh Lambo,Jax,2021
406.p.28691,WR,Tyrell Williams,Det,2021
406.p.28718,RB,Rod Smith,Car,2021
