Player_Key,Pos,Player,Team,Season
273.p.1111,K,John Kasay,Car,2012
273.p.2034,K,Jason Hanson,Det,2012
273.p.3664,WR,Terrell Owens,Sea,2012
273.p.3727,K,Adam Vinatieri,Ind,2012
273.p.3888,K,Olindo Mare,Chi,2012
273.p.3950,TE,Tony Gonzalez,Atl,2012
273.p.4080,K,Ryan Longwell,GB,2012
273.p.4256,QB,Peyton Manning,Den,2012
273.p.4262,WR,Randy Moss,SF,2012
273.p.4269,K,Phil Dawson,Cle,2012
273.p.4319,QB,Charlie Batch,Pit,2012
273.p.4416,QB,Matt Hasselbeck,Ind,2012
273.p.4587,K,David Akers,Det,2012
273.p.4755,WR,Brandon Stokley,Bal,2012
273.p.4863,WR,Donald Driver,GB,2012
273.p.4926,TE,Joe Zelenka,Atl,2012
273.p.5037,WR,Plaxico Burress,Pit,2012
273.p.5046,K,Sebastian Janikowski,Sea,2012
273.p.5104,QB,Chris Redman,Atl,2012
273.p.5198,K,Neil Rackers,Was,2012
273.p.5228,QB,Tom Brady,TB,2012
273.p.5259,TE,Brian Jennings,SF,2012
273.p.5341,TE,Justin Snow,Was,2012
273.p.5381,TE,Mike Leach,Ari,2012
273.p.5388,K,Rian Lindell,TB,2012
273.p.5447,K,Jay Feely,Chi,2012
273.p.5448,QB,Mike Vick,Pit,2012
273.p.5463,WR,Santana Moss,Was,2012
273.p.5477,WR,Reggie Wayne,NE,2012
273.p.5478,TE,Todd Heap,Ari,2012
273.p.5479,QB,Drew Brees,NO,2012
273.p.5483,WR,Chad Johnson,Mia,2012
273.p.5521,WR,Steve Smith Sr.,Bal,2012
273.p.5557,QB,Sage Rosenfels,Min,2012
273.p.5563,RB,Moran Norris,Hou,2012
273.p.5652,WR,T.J. Houshmandzadeh,LV,2012
273.p.5854,K,Shayne Graham,Atl,2012
273.p.5887,QB,David Carr,NYG,2012
273.p.5899,WR,Donte' Stallworth,Was,2012
273.p.5907,TE,Daniel Graham,NO,2012
273.p.5919,WR,Jabar Gaffney,Mia,2012
273.p.5949,WR,Antonio Bryant,Sea,2012
273.p.5951,WR,Deion Branch,Ind,2012
273.p.5967,QB,Josh McCown,Hou,2012
273.p.5989,TE,Justin Peelle,Pit,2012
273.p.5994,QB,David Garrard,NYJ,2012
273.p.6000,TE,Randy McMichael,LAC,2012
273.p.6119,RB,Rock Cartwright,SF,2012
273.p.6154,K,Billy Cundiff,Buf,2012
273.p.6169,QB,Shaun Hill,Min,2012
273.p.6243,K,Matt Bryant,Atl,2012
273.p.6337,QB,Carson Palmer,Ari,2012
273.p.6339,WR,Andre Johnson,Hou,2012
273.p.6343,QB,Byron Leftwich,Pit,2012
273.p.6353,WR,Bryant Johnson,Hou,2012
273.p.6355,QB,Kyle Boller,LAC,2012
273.p.6358,QB,Rex Grossman,Atl,2012
273.p.6359,RB,Willis McGahee,Cle,2012
273.p.6360,TE,Dallas Clark,Ind,2012
273.p.6390,WR,Anquan Boldin,Buf,2012
273.p.6405,TE,Jason Witten,LV,2012
273.p.6407,WR,Nate Burleson,Cle,2012
273.p.6427,TE,Visanthe Shiancoe,Ten,2012
273.p.6446,QB,Seneca Wallace,GB,2012
273.p.6460,WR,Brandon Lloyd,SF,2012
273.p.6470,RB,Ovie Mughelli,LAR,2012
273.p.6492,TE,Donald Lee,Cin,2012
273.p.6558,K,Josh Brown,NYG,2012
273.p.6591,WR,Kevin Walter,Ten,2012
273.p.6624,QB,Tony Romo,Dal,2012
273.p.6663,TE,Antonio Gates,LAC,2012
273.p.6664,WR,Kassim Osgood,SF,2012
273.p.6669,TE,Will Heller,Det,2012
273.p.6760,QB,Eli Manning,NYG,2012
273.p.6762,WR,Larry Fitzgerald,Ari,2012
273.p.6763,QB,Philip Rivers,Ind,2012
273.p.6765,TE,Kellen Winslow,NYJ,2012
273.p.6770,QB,Ben Roethlisberger,Pit,2012
273.p.6772,WR,Lee Evans,Jax,2012
273.p.6783,RB,Steven Jackson,NE,2012
273.p.6788,WR,Michael Jenkins,NE,2012
273.p.6791,TE,Ben Watson,NE,2012
273.p.6809,WR,Devery Henderson,Was,2012
273.p.6814,RB,Greg Jones,Jax,2012
273.p.6824,K,Nate Kaeding,TB,2012
273.p.6827,TE,Ben Hartsock,NE,2012
273.p.6840,TE,Chris Cooley,Was,2012
273.p.6849,QB,Matt Schaub,Atl,2012
273.p.6865,QB,Luke McCown,Dal,2012
273.p.6867,WR,Jerricho Cotchery,Car,2012
273.p.6878,RB,Mewelde Moore,Ind,2012
273.p.6896,K,Josh Scobee,Jax,2012
273.p.6913,RB,Michael Turner,Atl,2012
273.p.7022,K,Lawrence Tynes,TB,2012
273.p.7027,WR,Wes Welker,LAR,2012
273.p.7109,WR,Terrance Copper,KC,2012
273.p.7139,RB,Vonta Leach,Bal,2012
273.p.7149,WR,Malcom Floyd,LAC,2012
273.p.7162,RB,Lousaka Polite,Atl,2012
273.p.7177,QB,Alex Smith,Was,2012
273.p.7178,RB,Ronnie Brown,LAC,2012
273.p.7179,WR,Braylon Edwards,NYJ,2012
273.p.7180,RB,Cedric Benson,GB,2012
273.p.7186,WR,Mike Williams,Sea,2012
273.p.7200,QB,Aaron Rodgers,GB,2012
273.p.7201,QB,Jason Campbell,Cin,2012
273.p.7203,WR,Roddy White,Atl,2012
273.p.7206,TE,Heath Miller,Pit,2012
273.p.7223,K,Mike Nugent,Ari,2012
273.p.7231,WR,Roscoe Parrish,TB,2012
273.p.7237,WR,Vincent Jackson,TB,2012
273.p.7241,RB,Frank Gore,NYJ,2012
273.p.7244,WR,Courtney Roby,Atl,2012
273.p.7247,TE,Alex Smith,Was,2012
273.p.7282,QB,Kyle Orton,Buf,2012
273.p.7286,RB,Brandon Jacobs,NYG,2012
273.p.7306,RB,Darren Sproles,Phi,2012
273.p.7321,QB,Dan Orlovsky,LAR,2012
273.p.7355,TE,Bo Scaife,NE,2012
273.p.7374,TE,Joel Dreessen,Den,2012
273.p.7389,QB,Derek Anderson,Buf,2012
273.p.7406,QB,Matt Cassel,Det,2012
273.p.7425,TE,Billy Bajema,Bal,2012
273.p.7426,QB,Ryan Fitzpatrick,Was,2012
273.p.7434,K,Rob Bironas,Ten,2012
273.p.7440,TE,Stephen Spach,Jax,2012
273.p.7445,WR,Rashied Davis,Chi,2012
273.p.7448,WR,Josh Cribbs,Cle,2012
273.p.7450,RB,Corey McIntyre,Buf,2012
273.p.7492,WR,Nate Washington,NE,2012
273.p.7505,K,Nick Novak,LAC,2012
273.p.7520,K,Robbie Gould,SF,2012
273.p.7527,K,Shaun Suisham,Pit,2012
273.p.7544,WR,Lance Moore,NO,2012
273.p.7598,TE,Tory Humphrey,LV,2012
273.p.7599,WR,Ruvell Martin,Buf,2012
273.p.7635,RB,Ryan Grant,GB,2012
273.p.7657,WR,Greg Camarillo,NO,2012
273.p.7695,RB,John Kuhn,GB,2012
273.p.7751,RB,Reggie Bush,Buf,2012
273.p.7752,QB,Vince Young,Cle,2012
273.p.7755,TE,Vernon Davis,Was,2012
273.p.7759,QB,Matt Leinart,Buf,2012
273.p.7760,QB,Jay Cutler,Mia,2012
273.p.7774,WR,Santonio Holmes,Chi,2012
273.p.7776,RB,DeAngelo Williams,Pit,2012
273.p.7777,TE,Marcedes Lewis,GB,2012
273.p.7779,RB,Joseph Addai,NE,2012
273.p.7798,QB,Kellen Clemens,LAC,2012
273.p.7801,WR,Greg Jennings,Mia,2012
273.p.7802,TE,Anthony Fasano,Mia,2012
273.p.7806,WR,Devin Hester,Sea,2012
273.p.7809,RB,Maurice Jones-Drew,Jax,2012
273.p.7810,TE,Tony Scheffler,Det,2012
273.p.7813,QB,Tarvaris Jackson,Sea,2012
273.p.7821,TE,Leonard Pope,Chi,2012
273.p.7830,QB,Charlie Whitehurst,Cle,2012
273.p.7831,WR,Derek Hagan,Ten,2012
273.p.7835,TE,David Thomas,NO,2012
273.p.7839,WR,Maurice Stovall,Jax,2012
273.p.7847,TE,Owen Daniels,Den,2012
273.p.7849,RB,Michael Robinson,Sea,2012
273.p.7852,WR,Brad Smith,Phi,2012
273.p.7858,WR,Jason Avant,KC,2012
273.p.7860,WR,Demetrius Williams,Jax,2012
273.p.7866,RB,Leon Washington,Ten,2012
273.p.7867,K,Stephen Gostkowski,Ten,2012
273.p.7868,WR,Brandon Marshall,NO,2012
273.p.7879,WR,Domenik Hixon,Chi,2012
273.p.7894,RB,Jerome Harrison,Det,2012
273.p.7904,TE,Jeff King,Ari,2012
273.p.7924,TE,Delanie Walker,Ten,2012
273.p.7929,RB,Lawrence Vickers,Dal,2012
273.p.7943,QB,Bruce Gradkowski,Pit,2012
273.p.7982,WR,Devin Aromashodu,Chi,2012
273.p.7998,WR,Ben Obomanu,NYJ,2012
273.p.8001,WR,Marques Colston,NO,2012
273.p.8021,WR,Miles Austin,Phi,2012
273.p.8028,TE,Daniel Fells,NYG,2012
273.p.8040,RB,Montell Owens,Chi,2012
273.p.8054,WR,Micheal Spurlock,Chi,2012
273.p.8063,RB,Fred Jackson,Buf,2012
273.p.8078,RB,Naufahu Tahi,Jax,2012
273.p.8101,RB,Chris Taylor,NO,2012
273.p.8134,WR,Wallace Wright,TB,2012
273.p.8256,WR,Calvin Johnson,Det,2012
273.p.8261,RB,Adrian Peterson,Det,2012
273.p.8263,WR,Ted Ginn Jr.,Chi,2012
273.p.8266,RB,Marshawn Lynch,Sea,2012
273.p.8276,QB,Brady Quinn,Mia,2012
273.p.8277,WR,Dwayne Bowe,KC,2012
273.p.8281,WR,Robert Meachem,NO,2012
