Pick,Round,Team,Player,Season
1,1,273.l.777818.t.9,273.p.9527,2012
2,1,273.l.777818.t.2,273.p.8832,2012
3,1,273.l.777818.t.3,273.p.9317,2012
4,1,273.l.777818.t.10,273.p.8256,2012
5,1,273.l.777818.t.5,273.p.7200,2012
6,1,273.l.777818.t.8,273.p.8781,2012
7,1,273.l.777818.t.12,273.p.5228,2012
8,1,273.l.777818.t.7,273.p.24017,2012
9,1,273.l.777818.t.4,273.p.5479,2012
10,1,273.l.777818.t.1,273.p.8801,2012
11,1,273.l.777818.t.6,273.p.8821,2012
12,1,273.l.777818.t.11,273.p.9265,2012
13,2,273.l.777818.t.11,273.p.7809,2012
14,2,273.l.777818.t.6,273.p.24788,2012
15,2,273.l.777818.t.1,273.p.24070,2012
16,2,273.l.777818.t.4,273.p.6762,2012
17,2,273.l.777818.t.7,273.p.8780,2012
18,2,273.l.777818.t.12,273.p.8266,2012
19,2,273.l.777818.t.8,273.p.8850,2012
20,2,273.l.777818.t.5,273.p.24793,2012
21,2,273.l.777818.t.10,273.p.24791,2012
22,2,273.l.777818.t.3,273.p.24858,2012
23,2,273.l.777818.t.2,273.p.6339,2012
24,2,273.l.777818.t.9,273.p.24553,2012
25,3,273.l.777818.t.9,273.p.23987,2012
26,3,273.l.777818.t.2,273.p.7868,2012
27,3,273.l.777818.t.3,273.p.7203,2012
28,3,273.l.777818.t.10,273.p.25713,2012
29,3,273.l.777818.t.5,273.p.7801,2012
30,3,273.l.777818.t.8,273.p.6760,2012
31,3,273.l.777818.t.12,273.p.6783,2012
32,3,273.l.777818.t.7,273.p.8261,2012
33,3,273.l.777818.t.4,273.p.7027,2012
34,3,273.l.777818.t.1,273.p.6624,2012
35,3,273.l.777818.t.6,273.p.8813,2012
36,3,273.l.777818.t.11,273.p.5521,2012
37,4,273.l.777818.t.11,273.p.9293,2012
38,4,273.l.777818.t.6,273.p.7241,2012
39,4,273.l.777818.t.1,273.p.6913,2012
40,4,273.l.777818.t.4,273.p.8504,2012
41,4,273.l.777818.t.7,273.p.8001,2012
42,4,273.l.777818.t.12,273.p.9286,2012
43,4,273.l.777818.t.8,273.p.9348,2012
44,4,273.l.777818.t.5,273.p.8063,2012
45,4,273.l.777818.t.10,273.p.9283,2012
46,4,273.l.777818.t.3,273.p.6460,2012
47,4,273.l.777818.t.2,273.p.6359,2012
48,4,273.l.777818.t.9,273.p.24171,2012
49,5,273.l.777818.t.9,273.p.8021,2012
50,5,273.l.777818.t.2,273.p.9001,2012
51,5,273.l.777818.t.3,273.p.6663,2012
52,5,273.l.777818.t.10,273.p.25741,2012
53,5,273.l.777818.t.5,273.p.24088,2012
54,5,273.l.777818.t.8,273.p.8868,2012
55,5,273.l.777818.t.12,273.p.24062,2012
56,5,273.l.777818.t.7,273.p.7237,2012
57,5,273.l.777818.t.4,273.p.7306,2012
58,5,273.l.777818.t.1,273.p.23999,2012
59,5,273.l.777818.t.6,273.p.7755,2012
