Pick,Round,Team,Player,Season
1,1,380.l.236583.t.1,380.p.28398,2018
2,1,380.l.236583.t.9,380.p.29238,2018
3,1,380.l.236583.t.5,380.p.26671,2018
4,1,380.l.236583.t.6,380.p.28474,2018
5,1,380.l.236583.t.8,380.p.24171,2018
6,1,380.l.236583.t.4,380.p.30180,2018
7,1,380.l.236583.t.2,380.p.26650,2018
8,1,380.l.236583.t.10,380.p.30972,2018
9,1,380.l.236583.t.7,380.p.30199,2018
10,1,380.l.236583.t.3,380.p.27540,2018
11,2,380.l.236583.t.3,380.p.28403,2018
12,2,380.l.236583.t.7,380.p.30117,2018
13,2,380.l.236583.t.10,380.p.24793,2018
14,2,380.l.236583.t.2,380.p.29281,2018
15,2,380.l.236583.t.4,380.p.27581,2018
16,2,380.l.236583.t.8,380.p.26699,2018
17,2,380.l.236583.t.6,380.p.30154,2018
18,2,380.l.236583.t.5,380.p.24017,2018
19,2,380.l.236583.t.9,380.p.24791,2018
20,2,380.l.236583.t.1,380.p.27535,2018
21,3,380.l.236583.t.1,380.p.27631,2018
22,3,380.l.236583.t.9,380.p.30121,2018
23,3,380.l.236583.t.5,380.p.27277,2018
24,3,380.l.236583.t.6,380.p.25802,2018
25,3,380.l.236583.t.8,380.p.29384,2018
26,3,380.l.236583.t.4,380.p.25105,2018
27,3,380.l.236583.t.2,380.p.7200,2018
28,3,380.l.236583.t.10,380.p.26686,2018
29,3,380.l.236583.t.7,380.p.24035,2018
30,3,380.l.236583.t.3,380.p.5228,2018
31,4,380.l.236583.t.3,380.p.26658,2018
32,4,380.l.236583.t.7,380.p.30175,2018
33,4,380.l.236583.t.10,380.p.6762,2018
34,4,380.l.236583.t.2,380.p.27624,2018
35,4,380.l.236583.t.4,380.p.30161,2018
36,4,380.l.236583.t.8,380.p.9317,2018
37,4,380.l.236583.t.6,380.p.29399,2018
38,4,380.l.236583.t.5,380.p.23997,2018
39,4,380.l.236583.t.9,380.p.28534,2018
40,4,380.l.236583.t.1,380.p.30125,2018
41,5,380.l.236583.t.1,380.p.28392,2018
42,5,380.l.236583.t.9,380.p.29279,2018
43,5,380.l.236583.t.5,380.p.29307,2018
44,5,380.l.236583.t.6,380.p.29405,2018
45,5,380.l.236583.t.8,380.p.27591,2018
46,5,380.l.236583.t.4,380.p.25785,2018
47,5,380.l.236583.t.2,380.p.27548,2018
48,5,380.l.236583.t.10,380.p.26561,2018
49,5,380.l.236583.t.7,380.p.27589,2018
50,5,380.l.236583.t.3,380.p.25876,2018
51,6,380.l.236583.t.3,380.p.28537,2018
52,6,380.l.236583.t.7,380.p.25178,2018
53,6,380.l.236583.t.10,380.p.24788,2018
54,6,380.l.236583.t.2,380.p.30136,2018
55,6,380.l.236583.t.4,380.p.24070,2018
56,6,380.l.236583.t.8,380.p.25807,2018
57,6,380.l.236583.t.6,380.p.24815,2018
58,6,380.l.236583.t.5,380.p.30997,2018
59,6,380.l.236583.t.9,380.p.5479,2018
60,6,380.l.236583.t.1,380.p.8285,2018
61,7,380.l.236583.t.1,380.p.8266,2018
62,7,380.l.236583.t.9,380.p.9274,2018
63,7,380.l.236583.t.5,380.p.24936,2018
64,7,380.l.236583.t.6,380.p.24830,2018
65,7,380.l.236583.t.8,380.p.6770,2018
66,7,380.l.236583.t.4,380.p.30118,2018
67,7,380.l.236583.t.2,380.p.31041,2018
68,7,380.l.236583.t.10,380.p.26813,2018
69,7,380.l.236583.t.7,380.p.31013,2018
70,7,380.l.236583.t.3,380.p.27532,2018
71,8,380.l.236583.t.3,380.p.25881,2018
72,8,380.l.236583.t.7,380.p.30182,2018
73,8,380.l.236583.t.10,380.p.100030,2018
74,8,380.l.236583.t.2,380.p.29236,2018
75,8,380.l.236583.t.4,380.p.31008,2018
76,8,380.l.236583.t.8,380.p.7924,2018
77,8,380.l.236583.t.6,380.p.25812,2018
78,8,380.l.236583.t.5,380.p.31001,2018
79,8,380.l.236583.t.9,380.p.28493,2018
80,8,380.l.236583.t.1,380.p.29255,2018
81,9,380.l.236583.t.1,380.p.100021,2018
82,9,380.l.236583.t.9,380.p.8813,2018
83,9,380.l.236583.t.5,380.p.26664,2018
84,9,380.l.236583.t.6,380.p.26701,2018
85,9,380.l.236583.t.8,380.p.30232,2018
86,9,380.l.236583.t.4,380.p.100016,2018
87,9,380.l.236583.t.2,380.p.25755,2018
88,9,380.l.236583.t.10,380.p.7867,2018
89,9,380.l.236583.t.7,380.p.9265,2018
90,9,380.l.236583.t.3,380.p.100014,2018
91,10,380.l.236583.t.3,380.p.28429,2018
92,10,380.l.236583.t.7,380.p.24057,2018
93,10,380.l.236583.t.10,380.p.29785,2018
