week,end,start,game_id
1,2018-09-10,2018-09-06,380
2,2018-09-17,2018-09-11,380
3,2018-09-24,2018-09-18,380
4,2018-10-01,2018-09-25,380
5,2018-10-08,2018-10-02,380
6,2018-10-15,2018-10-09,380
7,2018-10-22,2018-10-16,380
8,2018-10-29,2018-10-23,380
9,2018-11-05,2018-10-30,380
10,2018-11-12,2018-11-06,380
11,2018-11-19,2018-11-13,380
12,2018-11-26,2018-11-20,380
13,2018-12-03,2018-11-27,380
14,2018-12-10,2018-12-04,380
15,2018-12-17,2018-12-11,380
16,2018-12-24,2018-12-18,380
17,2018-12-30,2018-12-25,380
1,2019-09-09,2019-09-05,390
2,2019-09-16,2019-09-10,390
3,2019-09-23,2019-09-17,390
4,2019-09-30,2019-09-24,390
5,2019-10-07,2019-10-01,390
6,2019-10-14,2019-10-08,390
7,2019-10-21,2019-10-15,390
8,2019-10-28,2019-10-22,390
9,2019-11-04,2019-10-29,390
10,2019-11-11,2019-11-05,390
11,2019-11-18,2019-11-12,390
12,2019-11-25,2019-11-19,390
13,2019-12-02,2019-11-26,390
14,2019-12-09,2019-12-03,390
15,2019-12-16,2019-12-10,390
16,2019-12-23,2019-12-17,390
17,2019-12-29,2019-12-24,390
1,2020-09-14,2020-09-10,399
2,2020-09-21,2020-09-15,399
3,2020-09-28,2020-09-22,399
4,2020-10-05,2020-09-29,399
5,2020-10-13,2020-10-06,399
6,2020-10-19,2020-10-14,399
7,2020-10-26,2020-10-20,399
8,2020-11-02,2020-10-27,399
9,2020-11-09,2020-11-03,399
10,2020-11-16,2020-11-10,399
11,2020-11-23,2020-11-17,399
12,2020-12-02,2020-11-24,399
13,2020-12-08,2020-12-03,399
14,2020-12-14,2020-12-09,399
15,2020-12-21,2020-12-15,399
16,2020-12-28,2020-12-22,399
17,2021-01-03,2020-12-29,399
1,2021-09-13,2021-09-09,406
2,2021-09-20,2021-09-14,406
3,2021-09-27,2021-09-21,406
4,2021-10-04,2021-09-28,406
5,2021-10-11,2021-10-05,406
6,2021-10-18,2021-10-12,406
7,2021-10-25,2021-10-19,406
8,2021-11-01,2021-10-26,406
9,2021-11-08,2021-11-02,406
10,2021-11-15,2021-11-09,406
11,2021-11-22,2021-11-16,406
12,2021-11-29,2021-11-23,406
13,2021-12-06,2021-11-30,406
14,2021-12-13,2021-12-07,406
15,2021-12-21,2021-12-14,406
16,2021-12-27,2021-12-22,406
17,2022-01-03,2021-12-28,406
18,2022-01-09,2022-01-04,406
1,2022-09-12,2022-09-08,414
2,2022-09-19,2022-09-13,414
3,2022-09-26,2022-09-20,414
4,2022-10-03,2022-09-27,414
5,2022-10-10,2022-10-04,414
6,2022-10-17,2022-10-11,414
7,2022-10-24,2022-10-18,414
8,2022-10-31,2022-10-25,414
9,2022-11-07,2022-11-01,414
10,2022-11-14,2022-11-08,414
11,2022-11-21,2022-11-15,414
12,2022-11-28,2022-11-22,414
13,2022-12-05,2022-11-29,414
14,2022-12-12,2022-12-06,414
15,2022-12-19,2022-12-13,414
16,2022-12-26,2022-12-20,414
17,2023-01-02,2022-12-27,414
18,2023-01-08,2023-01-03,414
