clinched_playoffs,draft_grade,faab_balance,has_draft_grade,name,number_of_moves,number_of_trades,team_id,team_key,waiver_priority,roster_adds.coverage_value,roster_adds.value,team_standings.outcome_totals.losses,team_standings.outcome_totals.percentage,team_standings.outcome_totals.ties,team_standings.outcome_totals.wins,team_standings.playoff_seed,team_standings.points_against,team_standings.points_for,team_standings.rank,team_standings.streak.type,team_standings.streak.value,manager_id,nickname,game_id,league_id
,B,,1,Arian Nation,36,0,3,359.l.185373.t.3,5,17,0,7,0.4620000123977661,0,6,7.0,1475.6400146484375,1512.1400146484375,8,loss,1,3,ryan,359,185373
,B,,1,Adele Beckham Jr.,113,8,2,359.l.185373.t.2,7,17,0,9,0.30799999833106995,0,4,10.0,1474.260009765625,1306.5999755859375,9,loss,4,2,Shinn,359,185373
,C+,,1,Deckers Barn animals,17,2,6,359.l.185373.t.6,2,17,0,8,0.38499999046325684,0,5,9.0,1427.6800537109375,1312.9000244140625,10,loss,1,6,Kevin,359,185373
1.0,B+,,1,CharcNado,41,6,4,348.l.570821.t.4,10,17,0,3,0.7689999938011169,0,10,1.0,1408.0999755859375,1609.9200439453125,1,win,9,4,Greg,348,570821
1.0,B,,1,Shady Brady,42,1,3,348.l.570821.t.3,7,17,0,5,0.6150000095367432,0,8,2.0,1472.9200439453125,1535.43994140625,2,loss,2,3,ryan,348,570821
1.0,B,,1,Lock Jaw Blowy,26,3,5,348.l.570821.t.5,8,17,0,6,0.5379999876022339,0,7,5.0,1345.800048828125,1423.0,3,loss,2,5,Peter Billups,348,570821
1.0,B,,1,Brady didn't do it,4,0,9,348.l.570821.t.9,1,17,0,5,0.6150000095367432,0,8,3.0,1377.3399658203125,1415.5999755859375,4,win,2,9,Jake,348,570821
1.0,B,,1,Playoffbound & Brown,28,4,8,348.l.570821.t.8,3,17,0,6,0.5379999876022339,0,7,4.0,1417.3399658203125,1541.1400146484375,5,win,2,8,Wesley,348,570821
1.0,B-,32.0,1,Poor Decisions 😢,35,4,6,399.l.12514.t.6,6,17,0,5,0.6150000095367432,0,8,3.0,1452.6600341796875,1643.5799560546875,4,win,2,6,Peter Billups,399,12514
1.0,B,80.0,1,Gronk's Gurley Chubb,4,4,10,399.l.12514.t.10,2,17,0,7,0.4620000123977661,0,6,6.0,1498.699951171875,1396.6600341796875,5,loss,3,10,Jeremy,399,12514
1.0,A-,17.0,1,Butker is my lube,36,2,3,399.l.12514.t.3,5,17,0,7,0.4620000123977661,0,6,4.0,1416.780029296875,1476.3599853515625,6,win,2,3,Kevin,399,12514
,B,5.0,1,Jonesin' 4 A Win,32,2,9,399.l.12514.t.9,8,17,0,8,0.38499999046325684,0,5,7.0,1515.1600341796875,1440.1400146484375,7,loss,3,9,Chris,399,12514
,C,0.0,1,FreshPrinceOfHelaire,41,5,2,399.l.12514.t.2,3,17,0,8,0.38499999046325684,0,5,9.0,1381.56005859375,1298.02001953125,8,win,1,2,ryan,399,12514
,B,0.0,1,Fantasy Sidelines,68,8,1,399.l.12514.t.1,9,17,0,9,0.30799999833106995,0,4,8.0,1513.5400390625,1344.5,9,loss,2,1,Tim,399,12514
,B,0.0,1,Table scraps,114,10,8,399.l.12514.t.8,10,17,0,10,0.23100000619888306,0,3,10.0,1534.97998046875,1322.0799560546875,10,loss,5,8,Shinn,399,12514
1.0,B,,1,Brady got' Dak,13,0,9,371.l.525547.t.9,9,17,0,2,0.8460000157356262,0,11,1.0,1268.300048828125,1483.6800537109375,1,win,7,9,Chris,371,525547
1.0,C,,1,Krispy Kareem,56,3,4,371.l.525547.t.4,10,17,0,7,0.4620000123977661,0,6,6.0,1409.9200439453125,1511.739990234375,2,loss,5,4,Greg,371,525547
1.0,C,,1,Give Goodell Zeke-a,29,2,8,371.l.525547.t.8,4,17,0,4,0.6919999718666077,0,9,2.0,1379.739990234375,1507.93994140625,3,loss,1,8,Wesley,371,525547
1.0,A-,,1,99 probs DEF aint 1,41,0,3,371.l.525547.t.3,6,17,0,5,0.6150000095367432,0,8,4.0,1285.5799560546875,1305.8199462890625,4,win,1,3,ryan,371,525547
1.0,B,,1,O.J.'s Parole Board,41,2,1,371.l.525547.t.1,8,17,0,6,0.5379999876022339,0,7,5.0,1448.219970703125,1479.719970703125,5,win,2,1,Tim,371,525547
1.0,A,,1,Earth to JBear!,91,7,2,371.l.525547.t.2,7,17,0,4,0.6919999718666077,0,9,3.0,1230.06005859375,1402.300048828125,6,win,2,2,Shinn,371,525547
,B+,,1,The Crow Show,27,1,5,371.l.525547.t.5,5,17,0,9,0.30799999833106995,0,4,8.0,1319.93994140625,1061.1199951171875,7,loss,4,5,Peter Billups,371,525547
