display_name,enabled,name,position_type,sort_order,stat_id,is_only_display_stat,game_id,league_id,stat_modifier
Pass Yds,1,Passing Yards,O,1,4,0,371,525547,0.03999999910593033
Pass TD,1,Passing Touchdowns,O,1,5,0,371,525547,4.0
Int,1,Interceptions,O,0,6,0,371,525547,-1.0
Rush Att,1,Rushing Attempts,O,1,8,1,371,525547,
Rush Yds,1,Rushing Yards,O,1,9,0,371,525547,0.10000000149011612
Rush TD,1,Rushing Touchdowns,O,1,10,0,371,525547,6.0
Targets,1,Targets,O,1,78,1,371,525547,
Rec,1,Receptions,O,1,11,0,371,525547,0.5
Rec Yds,1,Receiving Yards,O,1,12,0,371,525547,0.10000000149011612
Rec TD,1,Receiving Touchdowns,O,1,13,0,371,525547,6.0
Ret TD,1,Return Touchdowns,O,1,15,0,371,525547,6.0
2-PT,1,2-Point Conversions,O,1,16,0,371,525547,2.0
Fum Lost,1,Fumbles Lost,O,0,18,0,371,525547,-2.0
Fum Ret TD,1,Offensive Fumble Return TD,O,1,57,0,371,525547,6.0
FG 0-19,1,Field Goals 0-19 Yards,K,1,19,0,371,525547,3.0
FG 20-29,1,Field Goals 20-29 Yards,K,1,20,0,371,525547,3.0
FG 30-39,1,Field Goals 30-39 Yards,K,1,21,0,371,525547,3.0
FG 40-49,1,Field Goals 40-49 Yards,K,1,22,0,371,525547,4.0
FG 50+,1,Field Goals 50+ Yards,K,1,23,0,371,525547,5.0
PAT Made,1,Point After Attempt Made,K,1,29,0,371,525547,1.0
Pts Allow,1,Points Allowed,DT,0,31,1,371,525547,
Sack,1,Sack,DT,1,32,0,371,525547,1.0
Int,1,Interception,DT,1,33,0,371,525547,2.0
Fum Rec,1,Fumble Recovery,DT,1,34,0,371,525547,2.0
TD,1,Touchdown,DT,1,35,0,371,525547,6.0
Safe,1,Safety,DT,1,36,0,371,525547,2.0
Blk Kick,1,Block Kick,DT,1,37,0,371,525547,2.0
Kick and Punt Ret TD,1,Kickoff and Punt Return Touchdowns,DT,1,49,0,371,525547,6.0
Pts Allow 0,1,Points Allowed 0 points,DT,1,50,0,371,525547,10.0
Pts Allow 1-6,1,Points Allowed 1-6 points,DT,1,51,0,371,525547,7.0
Pts Allow 7-13,1,Points Allowed 7-13 points,DT,1,52,0,371,525547,4.0
Pts Allow 14-20,1,Points Allowed 14-20 points,DT,1,53,0,371,525547,1.0
Pts Allow 21-27,1,Points Allowed 21-27 points,DT,1,54,0,371,525547,0.0
Pts Allow 28-34,1,Points Allowed 28-34 points,DT,1,55,0,371,525547,-1.0
Pts Allow 35+,1,Points Allowed 35+ points,DT,1,56,0,371,525547,-4.0
XPR,1,Extra Point Returned,DT,1,82,0,371,525547,2.0
Pts Allow 35+,1,Points Allowed 35+ points,DT,1,56,0,273,777818,-4.0
Pass Yds,1,Passing Yards,O,1,4,0,359,185373,0.03999999910593033
Pass TD,1,Passing Touchdowns,O,1,5,0,359,185373,4.0
Int,1,Interceptions,O,0,6,0,359,185373,-1.0
Rush Att,1,Rushing Attempts,O,1,8,1,359,185373,
Rush Yds,1,Rushing Yards,O,1,9,0,359,185373,0.10000000149011612
Rush TD,1,Rushing Touchdowns,O,1,10,0,359,185373,6.0
Targets,1,Targets,O,1,78,1,359,185373,
Rec,1,Receptions,O,1,11,0,359,185373,0.5
Rec Yds,1,Receiving Yards,O,1,12,0,359,185373,0.10000000149011612
Rec TD,1,Receiving Touchdowns,O,1,13,0,359,185373,6.0
Ret TD,1,Return Touchdowns,O,1,15,0,359,185373,6.0
2-PT,1,2-Point Conversions,O,1,16,0,359,185373,2.0
Fum Lost,1,Fumbles Lost,O,0,18,0,359,185373,-2.0
Fum Ret TD,1,Offensive Fumble Return TD,O,1,57,0,359,185373,6.0
FG 0-19,1,Field Goals 0-19 Yards,K,1,19,0,359,185373,3.0
FG 20-29,1,Field Goals 20-29 Yards,K,1,20,0,359,185373,3.0
FG 30-39,1,Field Goals 30-39 Yards,K,1,21,0,359,185373,3.0
FG 40-49,1,Field Goals 40-49 Yards,K,1,22,0,359,185373,4.0
FG 50+,1,Field Goals 50+ Yards,K,1,23,0,359,185373,5.0
PAT Made,1,Point After Attempt Made,K,1,29,0,359,185373,1.0
Pts Allow,1,Points Allowed,DT,0,31,1,359,185373,
Sack,1,Sack,DT,1,32,0,359,185373,1.0
Int,1,Interception,DT,1,33,0,359,185373,2.0
Fum Rec,1,Fumble Recovery,DT,1,34,0,359,185373,2.0
TD,1,Touchdown,DT,1,35,0,359,185373,6.0
Safe,1,Safety,DT,1,36,0,359,185373,2.0
Blk Kick,1,Block Kick,DT,1,37,0,359,185373,2.0
Kick and Punt Ret TD,1,Kickoff and Punt Return Touchdowns,DT,1,49,0,359,185373,6.0
Pts Allow 0,1,Points Allowed 0 points,DT,1,50,0,359,185373,10.0
Pts Allow 1-6,1,Points Allowed 1-6 points,DT,1,51,0,359,185373,7.0
Pts Allow 7-13,1,Points Allowed 7-13 points,DT,1,52,0,359,185373,4.0
Pts Allow 14-20,1,Points Allowed 14-20 points,DT,1,53,0,359,185373,1.0
Pts Allow 21-27,1,Points Allowed 21-27 points,DT,1,54,0,359,185373,0.0
Pts Allow 28-34,1,Points Allowed 28-34 points,DT,1,55,0,359,185373,-1.0
Pts Allow 35+,1,Points Allowed 35+ points,DT,1,56,0,359,185373,-4.0
XPR,1,Extra Point Returned,DT,1,82,0,359,185373,2.0
Pass Yds,1,Passing Yards,O,1,4,0,348,570821,0.03999999910593033
Pass TD,1,Passing Touchdowns,O,1,5,0,348,570821,4.0
Int,1,Interceptions,O,0,6,0,348,570821,-1.0
Rush Att,1,Rushing Attempts,O,1,8,1,348,570821,
Rush Yds,1,Rushing Yards,O,1,9,0,348,570821,0.10000000149011612
Rush TD,1,Rushing Touchdowns,O,1,10,0,348,570821,6.0
Targets,1,Targets,O,1,78,1,348,570821,
Rec,1,Receptions,O,1,11,0,348,570821,0.5
Rec Yds,1,Reception Yards,O,1,12,0,348,570821,0.10000000149011612
Rec TD,1,Reception Touchdowns,O,1,13,0,348,570821,6.0
Ret TD,1,Return Touchdowns,O,1,15,0,348,570821,6.0
2-PT,1,2-Point Conversions,O,1,16,0,348,570821,2.0
Fum Lost,1,Fumbles Lost,O,0,18,0,348,570821,-2.0
Fum Ret TD,1,Offensive Fumble Return TD,O,1,57,0,348,570821,6.0
FG 0-19,1,Field Goals 0-19 Yards,K,1,19,0,348,570821,3.0
FG 20-29,1,Field Goals 20-29 Yards,K,1,20,0,348,570821,3.0
FG 30-39,1,Field Goals 30-39 Yards,K,1,21,0,348,570821,3.0
FG 40-49,1,Field Goals 40-49 Yards,K,1,22,0,348,570821,4.0
FG 50+,1,Field Goals 50+ Yards,K,1,23,0,348,570821,5.0
PAT Made,1,Point After Attempt Made,K,1,29,0,348,570821,1.0
Pts Allow,1,Points Allowed,DT,0,31,1,348,570821,
Sack,1,Sack,DT,1,32,0,348,570821,1.0
Int,1,Interception,DT,1,33,0,348,570821,2.0
Fum Rec,1,Fumble Recovery,DT,1,34,0,348,570821,2.0
TD,1,Touchdown,DT,1,35,0,348,570821,6.0
