pick,round,team_key,player_key,game_id,league_id
1,1,406.l.103661.t.5,406.p.30121,406,103661
2,1,406.l.103661.t.8,406.p.30154,406,103661
3,1,406.l.103661.t.6,406.p.29279,406,103661
4,1,406.l.103661.t.9,406.p.30180,406,103661
5,1,406.l.103661.t.3,406.p.31005,406,103661
6,1,406.l.103661.t.4,406.p.30295,406,103661
7,1,406.l.103661.t.7,406.p.29238,406,103661
8,1,406.l.103661.t.2,406.p.32711,406,103661
9,1,406.l.103661.t.10,406.p.27581,406,103661
10,1,406.l.103661.t.1,406.p.30423,406,103661
11,2,406.l.103661.t.1,406.p.26686,406,103661
12,2,406.l.103661.t.10,406.p.30972,406,103661
13,2,406.l.103661.t.2,406.p.32736,406,103661
14,2,406.l.103661.t.7,406.p.33412,406,103661
15,2,406.l.103661.t.4,406.p.29399,406,103661
16,2,406.l.103661.t.3,406.p.28534,406,103661
17,2,406.l.103661.t.9,406.p.30161,406,103661
18,2,406.l.103661.t.6,406.p.28592,406,103661
19,2,406.l.103661.t.8,406.p.30996,406,103661
20,2,406.l.103661.t.5,406.p.31896,406,103661
21,3,406.l.103661.t.5,406.p.26650,406,103661
22,3,406.l.103661.t.8,406.p.32702,406,103661
23,3,406.l.103661.t.6,406.p.30977,406,103661
24,3,406.l.103661.t.9,406.p.31883,406,103661
25,3,406.l.103661.t.3,406.p.31908,406,103661
26,3,406.l.103661.t.4,406.p.32692,406,103661
27,3,406.l.103661.t.7,406.p.27589,406,103661
28,3,406.l.103661.t.2,406.p.31905,406,103661
29,3,406.l.103661.t.10,406.p.26699,406,103661
30,3,406.l.103661.t.1,406.p.32687,406,103661
31,4,406.l.103661.t.1,406.p.33138,406,103661
32,4,406.l.103661.t.10,406.p.32705,406,103661
33,4,406.l.103661.t.2,406.p.30259,406,103661
34,4,406.l.103661.t.7,406.p.30182,406,103661
35,4,406.l.103661.t.4,406.p.30123,406,103661
36,4,406.l.103661.t.3,406.p.30362,406,103661
37,4,406.l.103661.t.9,406.p.27535,406,103661
38,4,406.l.103661.t.6,406.p.28457,406,103661
39,4,406.l.103661.t.8,406.p.28392,406,103661
40,4,406.l.103661.t.5,406.p.31424,406,103661
41,5,406.l.103661.t.5,406.p.31856,406,103661
42,5,406.l.103661.t.8,406.p.30197,406,103661
43,5,406.l.103661.t.6,406.p.32066,406,103661
44,5,406.l.103661.t.9,406.p.31885,406,103661
45,5,406.l.103661.t.3,406.p.26664,406,103661
46,5,406.l.103661.t.4,406.p.31902,406,103661
47,5,406.l.103661.t.7,406.p.31919,406,103661
48,5,406.l.103661.t.2,406.p.29369,406,103661
49,5,406.l.103661.t.10,406.p.31002,406,103661
50,5,406.l.103661.t.1,406.p.30994,406,103661
51,6,406.l.103661.t.1,406.p.24793,406,103661
52,6,406.l.103661.t.10,406.p.31056,406,103661
53,6,406.l.103661.t.2,406.p.27277,406,103661
54,6,406.l.103661.t.7,406.p.31833,406,103661
55,6,406.l.103661.t.4,406.p.33392,406,103661
56,6,406.l.103661.t.3,406.p.30199,406,103661
